version,rule_mode,seed,status,steps,eval_n,causal_n
V16-E.C1,compositional,16200,PLANNED,1100,4000,1200
V16-E.C1,compositional,16201,PLANNED,1100,4000,1200
V16-E.C1,compositional,16202,PLANNED,1100,4000,1200
V16-E.C1,compositional,16203,PLANNED,1100,4000,1200
V16-E.C1,compositional,16204,PLANNED,1100,4000,1200
V16-E.C1,compositional,16205,PLANNED,1100,4000,1200
V16-E.C1,compositional,16206,PLANNED,1100,4000,1200
V16-E.C1,compositional,16207,PLANNED,1100,4000,1200
V16-E.C1,compositional,16208,PLANNED,1100,4000,1200
V16-E.C1,compositional,16209,PLANNED,1100,4000,1200
V16-E.C1,compositional,16210,PLANNED,1100,4000,1200
V16-E.C1,compositional,16211,PLANNED,1100,4000,1200
V16-E.C1,compositional,16212,PLANNED,1100,4000,1200
V16-E.C1,compositional,16213,PLANNED,1100,4000,1200
V16-E.C1,compositional,16214,PLANNED,1100,4000,1200
V16-E.C1,compositional,16215,PLANNED,1100,4000,1200
V16-E.C1,compositional,16216,PLANNED,1100,4000,1200
V16-E.C1,compositional,16217,PLANNED,1100,4000,1200
V16-E.C1,compositional,16218,PLANNED,1100,4000,1200
V16-E.C1,compositional,16219,PLANNED,1100,4000,1200
V16-E.C1,compositional,16220,PLANNED,1100,4000,1200
V16-E.C1,compositional,16221,PLANNED,1100,4000,1200
V16-E.C1,compositional,16222,PLANNED,1100,4000,1200
V16-E.C1,compositional,16223,PLANNED,1100,4000,1200
V16-E.C1,packed,16200,PLANNED,1100,4000,1200
V16-E.C1,packed,16201,PLANNED,1100,4000,1200
V16-E.C1,packed,16202,PLANNED,1100,4000,1200
V16-E.C1,packed,16203,PLANNED,1100,4000,1200
V16-E.C1,packed,16204,PLANNED,1100,4000,1200
V16-E.C1,packed,16205,PLANNED,1100,4000,1200
V16-E.C1,packed,16206,PLANNED,1100,4000,1200
V16-E.C1,packed,16207,PLANNED,1100,4000,1200
V16-E.C1,packed,16208,PLANNED,1100,4000,1200
V16-E.C1,packed,16209,PLANNED,1100,4000,1200
V16-E.C1,packed,16210,PLANNED,1100,4000,1200
V16-E.C1,packed,16211,PLANNED,1100,4000,1200
V16-E.C1,packed,16212,PLANNED,1100,4000,1200
V16-E.C1,packed,16213,PLANNED,1100,4000,1200
V16-E.C1,packed,16214,PLANNED,1100,4000,1200
V16-E.C1,packed,16215,PLANNED,1100,4000,1200
V16-E.C1,packed,16216,PLANNED,1100,4000,1200
V16-E.C1,packed,16217,PLANNED,1100,4000,1200
V16-E.C1,packed,16218,PLANNED,1100,4000,1200
V16-E.C1,packed,16219,PLANNED,1100,4000,1200
V16-E.C1,packed,16220,PLANNED,1100,4000,1200
V16-E.C1,packed,16221,PLANNED,1100,4000,1200
V16-E.C1,packed,16222,PLANNED,1100,4000,1200
V16-E.C1,packed,16223,PLANNED,1100,4000,1200
