seed,rule_mode,eval_mode,phase,name,action_acc,outcome_mae,phase_name
16200,compositional,id,0,continuity,1.0,0.0214437656104564,continuity
16200,compositional,id,1,allocation,0.999750018119812,0.0912844762206077,allocation
16200,compositional,id,2,protection,0.9975000619888306,0.0693079680204391,protection
16200,compositional,id,3,integrated,0.9907500743865968,0.0719488263130188,integrated
16200,compositional,encoding_ood,0,continuity,1.0,0.02168152295053,continuity
16200,compositional,encoding_ood,1,allocation,0.999750018119812,0.0905871763825416,allocation
16200,compositional,encoding_ood,2,protection,0.9960000514984132,0.0698088109493255,protection
16200,compositional,encoding_ood,3,integrated,0.9897500276565552,0.0720186680555343,integrated
16200,compositional,factor_ood,0,continuity,0.999500036239624,0.0241375211626291,continuity
16200,compositional,factor_ood,1,allocation,0.999750018119812,0.0929358676075935,allocation
16200,compositional,factor_ood,2,protection,0.9967500567436218,0.0700035691261291,protection
16200,compositional,factor_ood,3,integrated,0.9830000400543212,0.075628638267517,integrated
16200,compositional,rule_ood,0,continuity,1.0,0.0216305889189243,continuity
16200,compositional,rule_ood,1,allocation,0.999500036239624,0.0842617824673652,allocation
16200,compositional,rule_ood,2,protection,0.9980000257492064,0.0691494867205619,protection
16200,compositional,rule_ood,3,integrated,0.9917500615119934,0.0712016969919204,integrated
16201,compositional,id,0,continuity,0.9397500157356262,0.104549691081047,continuity
16201,compositional,id,1,allocation,0.6705000400543213,0.1427436470985412,allocation
16201,compositional,id,2,protection,1.0,0.058224681764841,protection
16201,compositional,id,3,integrated,0.7852500081062317,0.0659757927060127,integrated
16201,compositional,encoding_ood,0,continuity,0.9407500624656676,0.1083090752363205,continuity
16201,compositional,encoding_ood,1,allocation,0.6612500548362732,0.1433705985546112,allocation
16201,compositional,encoding_ood,2,protection,0.999750018119812,0.0583735443651676,protection
16201,compositional,encoding_ood,3,integrated,0.7915000319480896,0.0663092136383056,integrated
16201,compositional,factor_ood,0,continuity,0.9322500228881836,0.1278015673160553,continuity
16201,compositional,factor_ood,1,allocation,0.6632500290870667,0.141688123345375,allocation
16201,compositional,factor_ood,2,protection,1.0,0.0581308118999004,protection
16201,compositional,factor_ood,3,integrated,0.5290000438690186,0.0657667145133018,integrated
16201,compositional,rule_ood,0,continuity,0.9347500205039978,0.1075339913368225,continuity
16201,compositional,rule_ood,1,allocation,0.3270000219345093,0.1286022663116455,allocation
16201,compositional,rule_ood,2,protection,1.0,0.0545216463506221,protection
16201,compositional,rule_ood,3,integrated,0.7977500557899475,0.0595549419522285,integrated
16202,compositional,id,0,continuity,0.9577500224113464,0.1220840364694595,continuity
16202,compositional,id,1,allocation,0.9627500176429749,0.1207891479134559,allocation
16202,compositional,id,2,protection,0.9625000357627868,0.0794786140322685,protection
16202,compositional,id,3,integrated,0.8885000348091125,0.1024792715907096,integrated
16202,compositional,encoding_ood,0,continuity,0.9637500643730164,0.1174225360155105,continuity
16202,compositional,encoding_ood,1,allocation,0.9625000357627868,0.1205813437700271,allocation
16202,compositional,encoding_ood,2,protection,0.9627500176429749,0.0826978236436843,protection
16202,compositional,encoding_ood,3,integrated,0.8835000395774841,0.1017663031816482,integrated
16202,compositional,factor_ood,0,continuity,0.9472500681877136,0.1360192447900772,continuity
16202,compositional,factor_ood,1,allocation,0.9665000438690186,0.122524470090866,allocation
16202,compositional,factor_ood,2,protection,0.9662500619888306,0.0789638683199882,protection
16202,compositional,factor_ood,3,integrated,0.8045000433921814,0.107227012515068,integrated
16202,compositional,rule_ood,0,continuity,0.9600000381469728,0.1251208186149597,continuity
16202,compositional,rule_ood,1,allocation,0.955750048160553,0.1035626605153083,allocation
16202,compositional,rule_ood,2,protection,0.8500000238418579,0.1021941527724266,protection
16202,compositional,rule_ood,3,integrated,0.8840000629425049,0.1338705569505691,integrated
16203,compositional,id,0,continuity,0.9667500257492064,0.1030922532081604,continuity
16203,compositional,id,1,allocation,0.914750039577484,0.1426630616188049,allocation
16203,compositional,id,2,protection,0.999250054359436,0.0639258921146392,protection
16203,compositional,id,3,integrated,0.7882500290870667,0.0732269138097763,integrated
16203,compositional,encoding_ood,0,continuity,0.967750072479248,0.1083987727761268,continuity
16203,compositional,encoding_ood,1,allocation,0.9187500476837158,0.1428052186965942,allocation
16203,compositional,encoding_ood,2,protection,0.9952500462532043,0.0655696094036102,protection
