rule_mode,kind,target,patch,n_seeds,policy_follow_mean,policy_follow_ci_low,policy_follow_ci_high,non_target_change_mean,non_target_change_ci_low,non_target_change_ci_high,outcome_mediation_mean,outcome_mediation_ci_low,outcome_mediation_ci_high,cf_gt_acc_mean,total_conflicts
compositional,factor,beneficiary,matched_relation_token,24,0.7270023088979846,0.5805312035168754,0.8562938407558248,0.1445370407309383,0.11870254913034535,0.16780093095536958,0.0873241952843576,-0.07907162752429334,0.2405195758676806,0.7270023088979846,21350
compositional,factor,beneficiary,random_norm_relation_token,24,0.18977641942910847,0.13484109177176526,0.24777607523525755,0.042916667725269954,0.03464091497977881,0.05285879768392377,-0.04834458017527745,-0.07452541519596705,-0.022018750890129012,0.7270023088979846,21350
compositional,factor,concern,matched_relation_token,24,0.8946069702506065,0.8215385703369975,0.9581686526536941,0.09375000155220425,0.08741898336447773,0.10037066047079858,0.28362256672699004,0.17512485660457364,0.3786539073257396,0.8946069702506065,21320
compositional,factor,concern,random_norm_relation_token,24,0.06728165257178863,0.03774441230392154,0.0998133216698382,0.022604167335278615,0.01721064865681297,0.028634260274945166,-0.06342541984971223,-0.08925442042861198,-0.039707997365258034,0.8946069702506065,21320
compositional,factor,identity,matched_relation_token,24,0.9425898008048534,0.8942079685628415,0.976781958900392,0.11738426249939944,0.09440914567967407,0.13861140407389025,0.7591731689850955,0.6510111659459654,0.8493220852687955,0.9425898008048534,21649
compositional,factor,identity,random_norm_relation_token,24,0.17821857915259895,0.13154000693660536,0.22583380029342748,0.04572916783702865,0.036643519368953964,0.0559493648159938,0.10038784830733975,0.07593395379844872,0.12476728128021929,0.9425898008048534,21649
compositional,operator,allocation,matched_comparator_token,24,0.9159375155965487,0.8663524513443311,0.95954862733682,0.03737268632297243,0.015624421886483665,0.06284780363469805,0.26825463890175644,0.1770008054760789,0.3589130295362944,0.9159375155965487,28800
compositional,operator,allocation,random_norm_comparator_token,24,0.3290625087295969,0.22704774990367385,0.4411840408070323,0.03550925980865329,0.022499711325508494,0.051598380313953314,-0.078708959723978,-0.1787113440290947,-0.0047790963765389225,0.9159375155965487,28800
compositional,operator,protection,matched_comparator_token,24,0.9805169155200323,0.9627704064672191,0.9942504481102029,0.07016203981766007,0.027649885758485898,0.11864583824353755,0.5993940765038133,0.5305372611852364,0.6536308868477743,0.9805169155200323,14350
compositional,operator,protection,random_norm_comparator_token,24,0.2798002469353378,0.18352994178033738,0.38676250554465985,0.05027777883030158,0.03479166742836236,0.06938686542974509,0.059616140126308864,-0.0012949340521421192,0.11409826945819072,0.9805169155200323,14350
packed,factor,beneficiary,matched_relation_token,24,0.7765975929796696,0.6933650104949872,0.856795552217712,0.13878472576228276,0.111746529500427,0.163935479526602,0.20048602166813603,0.11863617994088903,0.28255546092962797,0.7765975929796696,21350
packed,factor,beneficiary,random_norm_relation_token,24,0.26665837643668056,0.19655762387750045,0.3360916856210679,0.05208333480792735,0.04225665616104376,0.06258131006422137,-0.03187468886244459,-0.061126246442987996,-0.006746505465131733,0.7765975929796696,21350
packed,factor,concern,matched_relation_token,24,0.9033369806905588,0.841014658814917,0.9543452657759189,0.0995370397965113,0.0917939838642875,0.10760417021811004,0.2579131364279116,0.17014520104664066,0.33705926777038253,0.9033369806905588,21320
packed,factor,concern,random_norm_relation_token,24,0.06363101082388306,0.04615202317363577,0.0818574915969899,0.02726851906239361,0.01983767410274591,0.035891204629054554,-0.073481454058007,-0.12770610297156962,-0.031930758162100864,0.9033369806905588,21320
packed,factor,identity,matched_relation_token,24,0.944674514234066,0.8948169430096945,0.9801542047411204,0.11967592870738974,0.09748813889891604,0.13938831435128418,0.7786377579687193,0.680464909093819,0.8546224569901824,0.944674514234066,21649
packed,factor,identity,random_norm_relation_token,24,0.2199280420318246,0.174371996797466,0.26302953500611087,0.053483797547717836,0.04393489649325293,0.06313686522771597,0.12163233468891117,0.0890398873091423,0.15345540369380614,0.944674514234066,21649
packed,operator,allocation,matched_full_rule_coalition,24,0.8586458464463552,0.793819462073346,0.9204513952756922,0.037592593270043474,0.022475984165794154,0.05654050960826372,0.28767771855928004,0.20539705294650049,0.36869533407346655,0.8586458464463552,28800
packed,operator,allocation,random_norm_full_rule_coalition,24,0.18802083687235913,0.15906250351884713,0.22041667005978524,0.05809027880119777,0.05219907491894746,0.06384259354672389,-0.03601230813364961,-0.05628475173277059,-0.016820545786201062,0.8586458464463552,28800
packed,operator,protection,matched_full_rule_coalition,24,0.9810301288962364,0.9665660122409463,0.9917996619517605,0.04929398321352584,0.0332517371117622,0.06738484115727862,0.562107199182113,0.4874824080926677,0.6211784397562344,0.9810301288962364,14350
packed,operator,protection,random_norm_full_rule_coalition,24,0.2283076677316179,0.1393467326726143,0.33162554548859274,0.0884722250824173,0.07698987497327225,0.1003822370859173,-0.010983097599819325,-0.10706239652354271,0.05692530124506443,0.9810301288962364,14350
