seed,rule_mode,eval_mode,phase,name,action_acc,outcome_mae
16200,compositional,id,0,continuity,0.999500036239624,0.0091961799189448
16200,compositional,id,1,allocation,0.9987500309944152,0.06508369743824
16200,compositional,id,2,protection,0.999250054359436,0.0521469265222549
16200,compositional,id,3,integrated,0.9970000386238098,0.0592201650142669
16200,compositional,encoding_ood,0,continuity,0.999750018119812,0.0095178019255399
16200,compositional,encoding_ood,1,allocation,0.999750018119812,0.0632482096552848
16200,compositional,encoding_ood,2,protection,0.9887500405311584,0.054214809089899
16200,compositional,encoding_ood,3,integrated,0.993000030517578,0.0590578615665435
16200,compositional,factor_ood,0,continuity,0.999000072479248,0.0102728512138128
16200,compositional,factor_ood,1,allocation,0.999500036239624,0.0634924694895744
16200,compositional,factor_ood,2,protection,0.9982500672340392,0.0534586831927299
16200,compositional,factor_ood,3,integrated,0.9965000748634338,0.0598166063427925
16200,compositional,rule_ood,0,continuity,0.999750018119812,0.0091779390349984
16200,compositional,rule_ood,1,allocation,1.0,0.0574423000216484
16200,compositional,rule_ood,2,protection,0.9972500205039978,0.0535335354506969
16200,compositional,rule_ood,3,integrated,0.9980000257492064,0.0605117045342922
16201,compositional,id,0,continuity,0.9987500309944152,0.0135105308145284
16201,compositional,id,1,allocation,0.9970000386238098,0.0783987790346145
16201,compositional,id,2,protection,0.9955000281333924,0.0578887611627578
16201,compositional,id,3,integrated,0.9962500333786012,0.0659219399094581
16201,compositional,encoding_ood,0,continuity,0.999000072479248,0.0148892449215054
16201,compositional,encoding_ood,1,allocation,0.9937500357627868,0.0798199474811554
16201,compositional,encoding_ood,2,protection,0.9970000386238098,0.0587161891162395
16201,compositional,encoding_ood,3,integrated,0.9922500252723694,0.067108578979969
16201,compositional,factor_ood,0,continuity,0.9982500672340392,0.0191169194877147
16201,compositional,factor_ood,1,allocation,0.9980000257492064,0.0799906253814697
16201,compositional,factor_ood,2,protection,0.9950000643730164,0.0595990642905235
16201,compositional,factor_ood,3,integrated,0.9932500720024108,0.0735249444842338
16201,compositional,rule_ood,0,continuity,0.999250054359436,0.0142154339700937
16201,compositional,rule_ood,1,allocation,0.4975000321865082,0.1152588725090026
16201,compositional,rule_ood,2,protection,0.9982500672340392,0.054835520684719
16201,compositional,rule_ood,3,integrated,0.99275004863739,0.0624504424631595
16202,compositional,id,0,continuity,1.0,0.0164260640740394
16202,compositional,id,1,allocation,1.0,0.0567612461745739
16202,compositional,id,2,protection,1.0,0.0466394834220409
16202,compositional,id,3,integrated,0.999750018119812,0.0608205534517765
16202,compositional,encoding_ood,0,continuity,0.999750018119812,0.0153720127418637
16202,compositional,encoding_ood,1,allocation,1.0,0.0570798963308334
16202,compositional,encoding_ood,2,protection,0.9982500672340392,0.0501158609986305
16202,compositional,encoding_ood,3,integrated,0.9975000619888306,0.0635408237576484
16202,compositional,factor_ood,0,continuity,0.999500036239624,0.0191811900585889
16202,compositional,factor_ood,1,allocation,1.0,0.0578931160271167
16202,compositional,factor_ood,2,protection,0.999500036239624,0.0456877946853637
16202,compositional,factor_ood,3,integrated,0.9987500309944152,0.0623268373310565
16202,compositional,rule_ood,0,continuity,0.9980000257492064,0.0154770230874419
16202,compositional,rule_ood,1,allocation,0.999750018119812,0.0551746636629104
16202,compositional,rule_ood,2,protection,0.9235000610351562,0.0686951354146003
16202,compositional,rule_ood,3,integrated,0.999750018119812,0.1107415184378624
16203,compositional,id,0,continuity,0.9875000715255736,0.0311983246356248
16203,compositional,id,1,allocation,0.9832500219345092,0.0867683961987495
