context,kind,target,mean_policy_follow,min_policy_follow,mean_non_target_change,mean_outcome_mediation,random_policy_follow,matched_minus_random
rule_ood,factor,beneficiary,0.8270088653080165,0.0,0.19254630183180169,0.32646459325527155,0.13141432528694466,0.6955945400210719
rule_ood,factor,concern,0.9101228788495064,0.5120614171028137,0.09392361342906948,0.46108825302993256,0.059258601046167265,0.8508642778033391
rule_ood,factor,identity,0.9879216079910597,0.8577777743339539,0.1597106518844763,0.9535021210710207,0.12797399369689322,0.8599476142941664
rule_ood,operator,allocation,0.9871527825792631,0.9191666841506958,0.029282407563490112,0.5129047274434319,0.322083334904164,0.6650694476750991
rule_ood,operator,protection,0.9972818220655123,0.9580644965171814,0.05526620544454388,0.7106567900627851,0.28645040541111183,0.7108314166544005
train,factor,beneficiary,0.9860272407531738,0.906531572341919,0.18747685663402078,0.7021159393091997,0.0942312503078331,0.8917959904453407
train,factor,concern,0.998679076631864,0.9862068891525269,0.091527779897054,0.7660526360074679,0.02181021532548277,0.9768688613063812
train,factor,identity,0.9906624133388201,0.8689426779747009,0.15420139115303752,0.9552289173007011,0.1281587391082818,0.8625036742305383
train,operator,allocation,0.9338888997832934,0.6500000357627869,0.01016203747713002,0.6063260311881701,0.08833333609315253,0.8455555636901408
train,operator,protection,0.9426008686423302,0.6566163897514343,0.019583333817232967,0.7770120576024055,0.09148630173876876,0.8511145669035614
