seed,factor,layer,token,train_pairs,test_mode,test_pairs,bacc
16150,identity,0,role,612,id,603,0.4693200663349917
16150,identity,0,role,612,symbol_ood,647,0.5123647604327666
16150,identity,0,designated_phase,612,id,603,0.5
16150,identity,0,designated_phase,612,symbol_ood,647,0.5
16150,identity,0,integrated_phase,612,id,603,0.5
16150,identity,0,integrated_phase,612,symbol_ood,647,0.5
16150,identity,1,role,612,id,603,0.9991708126036485
16150,identity,1,role,612,symbol_ood,647,0.9049459041731066
16150,identity,1,designated_phase,612,id,603,0.4917081260364842
16150,identity,1,designated_phase,612,symbol_ood,647,0.5332302936630603
16150,identity,1,integrated_phase,612,id,603,0.4809286898839138
16150,identity,1,integrated_phase,612,symbol_ood,647,0.5030911901081916
16150,identity,2,role,612,id,603,1.0
16150,identity,2,role,612,symbol_ood,647,0.9621329211746522
16150,identity,2,designated_phase,612,id,603,1.0
16150,identity,2,designated_phase,612,symbol_ood,647,0.9984544049459041
16150,identity,2,integrated_phase,612,id,603,0.9958540630182422
16150,identity,2,integrated_phase,612,symbol_ood,647,0.964451313755796
16150,beneficiary,0,role,667,id,676,0.4977810650887574
16150,beneficiary,0,role,667,symbol_ood,664,0.49548192771084343
16150,beneficiary,0,designated_phase,667,id,676,0.5
16150,beneficiary,0,designated_phase,667,symbol_ood,664,0.5
16150,beneficiary,0,integrated_phase,667,id,676,0.5
16150,beneficiary,0,integrated_phase,667,symbol_ood,664,0.5
16150,beneficiary,1,role,667,id,676,1.0
16150,beneficiary,1,role,667,symbol_ood,664,1.0
16150,beneficiary,1,designated_phase,667,id,676,0.7115384615384615
16150,beneficiary,1,designated_phase,667,symbol_ood,664,0.6054216867469879
16150,beneficiary,1,integrated_phase,667,id,676,0.49556213017751477
16150,beneficiary,1,integrated_phase,667,symbol_ood,664,0.5037650602409638
16150,beneficiary,2,role,667,id,676,1.0
16150,beneficiary,2,role,667,symbol_ood,664,1.0
16150,beneficiary,2,designated_phase,667,id,676,1.0
16150,beneficiary,2,designated_phase,667,symbol_ood,664,0.9969879518072289
16150,beneficiary,2,integrated_phase,667,id,676,0.9970414201183433
16150,beneficiary,2,integrated_phase,667,symbol_ood,664,0.9149096385542168
16150,concern,0,role,715,id,705,1.0
16150,concern,0,role,715,symbol_ood,701,1.0
16150,concern,0,designated_phase,715,id,705,0.5
16150,concern,0,designated_phase,715,symbol_ood,701,0.5
16150,concern,0,integrated_phase,715,id,705,0.5
16150,concern,0,integrated_phase,715,symbol_ood,701,0.5
16150,concern,1,role,715,id,705,1.0
16150,concern,1,role,715,symbol_ood,701,1.0
16150,concern,1,designated_phase,715,id,705,0.8141843971631206
16150,concern,1,designated_phase,715,symbol_ood,701,0.8316690442225392
16150,concern,1,integrated_phase,715,id,705,0.8709219858156028
16150,concern,1,integrated_phase,715,symbol_ood,701,0.8773181169757489
16150,concern,2,role,715,id,705,1.0
16150,concern,2,role,715,symbol_ood,701,1.0
16150,concern,2,designated_phase,715,id,705,1.0
16150,concern,2,designated_phase,715,symbol_ood,701,1.0
16150,concern,2,integrated_phase,715,id,705,1.0
16150,concern,2,integrated_phase,715,symbol_ood,701,1.0
16151,identity,0,role,591,id,617,0.5113452188006483
16151,identity,0,role,591,symbol_ood,623,0.47913322632423755
16151,identity,0,designated_phase,591,id,617,0.5
16151,identity,0,designated_phase,591,symbol_ood,623,0.5
16151,identity,0,integrated_phase,591,id,617,0.5
16151,identity,0,integrated_phase,591,symbol_ood,623,0.5
16151,identity,1,role,591,id,617,0.9846029173419772
16151,identity,1,role,591,symbol_ood,623,0.971107544141252
16151,identity,1,designated_phase,591,id,617,0.679092382495948
16151,identity,1,designated_phase,591,symbol_ood,623,0.6605136436597111
16151,identity,1,integrated_phase,591,id,617,0.6385737439222042
16151,identity,1,integrated_phase,591,symbol_ood,623,0.6268057784911718
16151,identity,2,role,591,id,617,0.9837925445705025
16151,identity,2,role,591,symbol_ood,623,0.9550561797752809
16151,identity,2,designated_phase,591,id,617,1.0
16151,identity,2,designated_phase,591,symbol_ood,623,1.0
16151,identity,2,integrated_phase,591,id,617,0.9959481361426257
16151,identity,2,integrated_phase,591,symbol_ood,623,0.992776886035313
16151,beneficiary,0,role,642,id,628,0.49920382165605093
16151,beneficiary,0,role,642,symbol_ood,653,0.5007656967840735
16151,beneficiary,0,designated_phase,642,id,628,0.5
16151,beneficiary,0,designated_phase,642,symbol_ood,653,0.5
16151,beneficiary,0,integrated_phase,642,id,628,0.5
16151,beneficiary,0,integrated_phase,642,symbol_ood,653,0.5
16151,beneficiary,1,role,642,id,628,0.9737261146496815
16151,beneficiary,1,role,642,symbol_ood,653,0.9946401225114854
16151,beneficiary,1,designated_phase,642,id,628,0.9339171974522293
16151,beneficiary,1,designated_phase,642,symbol_ood,653,0.947166921898928
16151,beneficiary,1,integrated_phase,642,id,628,0.7324840764331211
16151,beneficiary,1,integrated_phase,642,symbol_ood,653,0.6983154670750383
16151,beneficiary,2,role,642,id,628,0.9745222929936306
16151,beneficiary,2,role,642,symbol_ood,653,0.9709035222052067
16151,beneficiary,2,designated_phase,642,id,628,1.0
16151,beneficiary,2,designated_phase,642,symbol_ood,653,1.0
16151,beneficiary,2,integrated_phase,642,id,628,1.0
16151,beneficiary,2,integrated_phase,642,symbol_ood,653,1.0
16151,concern,0,role,740,id,788,1.0
16151,concern,0,role,740,symbol_ood,758,1.0
16151,concern,0,designated_phase,740,id,788,0.5
16151,concern,0,designated_phase,740,symbol_ood,758,0.5
16151,concern,0,integrated_phase,740,id,788,0.5
16151,concern,0,integrated_phase,740,symbol_ood,758,0.5
16151,concern,1,role,740,id,788,1.0
16151,concern,1,role,740,symbol_ood,758,1.0
16151,concern,1,designated_phase,740,id,788,0.6694162436548223
16151,concern,1,designated_phase,740,symbol_ood,758,0.6662269129287599
16151,concern,1,integrated_phase,740,id,788,0.8876903553299492
16151,concern,1,integrated_phase,740,symbol_ood,758,0.8773087071240105
16151,concern,2,role,740,id,788,1.0
16151,concern,2,role,740,symbol_ood,758,1.0
16151,concern,2,designated_phase,740,id,788,1.0
16151,concern,2,designated_phase,740,symbol_ood,758,1.0
16151,concern,2,integrated_phase,740,id,788,1.0
16151,concern,2,integrated_phase,740,symbol_ood,758,0.9980211081794195
16152,identity,0,role,641,id,590,0.5033898305084745
16152,identity,0,role,641,symbol_ood,622,0.5168810289389068
16152,identity,0,designated_phase,641,id,590,0.5
16152,identity,0,designated_phase,641,symbol_ood,622,0.5
16152,identity,0,integrated_phase,641,id,590,0.5
16152,identity,0,integrated_phase,641,symbol_ood,622,0.5
16152,identity,1,role,641,id,590,0.8966101694915254
16152,identity,1,role,641,symbol_ood,622,0.7942122186495177
16152,identity,1,designated_phase,641,id,590,1.0
16152,identity,1,designated_phase,641,symbol_ood,622,1.0
16152,identity,1,integrated_phase,641,id,590,0.6932203389830509
16152,identity,1,integrated_phase,641,symbol_ood,622,0.6897106109324759
16152,identity,2,role,641,id,590,0.9533898305084746
16152,identity,2,role,641,symbol_ood,622,0.8858520900321544
16152,identity,2,designated_phase,641,id,590,1.0
16152,identity,2,designated_phase,641,symbol_ood,622,1.0
16152,identity,2,integrated_phase,641,id,590,0.8940677966101696
16152,identity,2,integrated_phase,641,symbol_ood,622,0.882636655948553
16152,beneficiary,0,role,649,id,670,0.4880597014925373
16152,beneficiary,0,role,649,symbol_ood,680,0.525
16152,beneficiary,0,designated_phase,649,id,670,0.5
16152,beneficiary,0,designated_phase,649,symbol_ood,680,0.5
16152,beneficiary,0,integrated_phase,649,id,670,0.5
16152,beneficiary,0,integrated_phase,649,symbol_ood,680,0.5
16152,beneficiary,1,role,649,id,670,0.9850746268656716
16152,beneficiary,1,role,649,symbol_ood,680,0.9963235294117647
16152,beneficiary,1,designated_phase,649,id,670,0.9223880597014925
16152,beneficiary,1,designated_phase,649,symbol_ood,680,0.9316176470588236
16152,beneficiary,1,integrated_phase,649,id,670,0.9537313432835821
16152,beneficiary,1,integrated_phase,649,symbol_ood,680,0.9713235294117647
16152,beneficiary,2,role,649,id,670,0.9917910447761193
16152,beneficiary,2,role,649,symbol_ood,680,0.9948529411764706
16152,beneficiary,2,designated_phase,649,id,670,1.0
16152,beneficiary,2,designated_phase,649,symbol_ood,680,1.0
16152,beneficiary,2,integrated_phase,649,id,670,0.9955223880597015
16152,beneficiary,2,integrated_phase,649,symbol_ood,680,0.9970588235294118
16152,concern,0,role,728,id,768,1.0
16152,concern,0,role,728,symbol_ood,710,1.0
16152,concern,0,designated_phase,728,id,768,0.5
16152,concern,0,designated_phase,728,symbol_ood,710,0.5
16152,concern,0,integrated_phase,728,id,768,0.5
16152,concern,0,integrated_phase,728,symbol_ood,710,0.5
16152,concern,1,role,728,id,768,1.0
16152,concern,1,role,728,symbol_ood,710,1.0
16152,concern,1,designated_phase,728,id,768,1.0
16152,concern,1,designated_phase,728,symbol_ood,710,1.0
16152,concern,1,integrated_phase,728,id,768,1.0
16152,concern,1,integrated_phase,728,symbol_ood,710,1.0
16152,concern,2,role,728,id,768,1.0
16152,concern,2,role,728,symbol_ood,710,1.0
16152,concern,2,designated_phase,728,id,768,1.0
16152,concern,2,designated_phase,728,symbol_ood,710,1.0
16152,concern,2,integrated_phase,728,id,768,1.0
16152,concern,2,integrated_phase,728,symbol_ood,710,1.0
