factor,layer,token,test_mode,mean_bacc,min_bacc,max_bacc,mean_train_pairs,mean_test_pairs
beneficiary,2,designated_phase,id,1.0,1.0,1.0,652.6666666666666,658.0
beneficiary,2,designated_phase,symbol_ood,0.998995983935743,0.9969879518072288,1.0,652.6666666666666,665.6666666666666
beneficiary,2,integrated_phase,id,0.9975212693926816,0.9955223880597016,1.0,652.6666666666666,658.0
beneficiary,2,integrated_phase,symbol_ood,0.9706561540278762,0.9149096385542168,1.0,652.6666666666666,665.6666666666666
concern,2,designated_phase,id,1.0,1.0,1.0,727.6666666666666,753.6666666666666
concern,2,designated_phase,symbol_ood,1.0,1.0,1.0,727.6666666666666,723.0
concern,2,integrated_phase,id,1.0,1.0,1.0,727.6666666666666,753.6666666666666
concern,2,integrated_phase,symbol_ood,0.99934036939314,0.9980211081794196,1.0,727.6666666666666,723.0
identity,2,designated_phase,id,1.0,1.0,1.0,614.6666666666666,603.3333333333334
identity,2,designated_phase,symbol_ood,0.9994848016486348,0.998454404945904,1.0,614.6666666666666,630.6666666666666
identity,2,integrated_phase,id,0.9619566652570124,0.8940677966101696,0.9959481361426256,614.6666666666666,603.3333333333334
identity,2,integrated_phase,symbol_ood,0.9466216185798872,0.882636655948553,0.992776886035313,614.6666666666666,630.6666666666666
