seed,factor,layer,phase,patch,conflict_n,follow,policy_change,outcome_change_mae
16150,identity,0,0,own_role,384,1.0,0.7680000066757202,0.4947478175163269
16150,identity,0,0,phase_only,384,0.0,0.0,0.0
16150,identity,0,0,own_plus_phase,384,1.0,0.7680000066757202,0.4947478175163269
16150,identity,0,0,cross_plus_phase,384,0.0,0.0,0.0
16150,identity,0,0,entities_plus_phase,384,0.0,0.0,0.0
16150,identity,0,0,shuffled_own_plus_phase,384,0.4270833432674408,0.4339999854564667,0.25896120071411133
16150,identity,0,0,random_norm_own_plus_phase,384,0.0416666679084301,0.03999999910593033,0.04183919355273247
16150,identity,0,3,own_role,257,1.0,0.5139999985694885,0.041486091911792755
16150,identity,0,3,phase_only,257,0.0,0.0,0.0
16150,identity,0,3,own_plus_phase,257,1.0,0.5139999985694885,0.041486091911792755
16150,identity,0,3,cross_plus_phase,257,0.0,0.0,0.0
16150,identity,0,3,entities_plus_phase,257,0.0,0.0,0.0
16150,identity,0,3,shuffled_own_plus_phase,257,0.5447470545768738,0.2939999997615814,0.03026069514453411
16150,identity,0,3,random_norm_own_plus_phase,257,0.06614785641431808,0.04800000041723251,0.022635947912931442
16150,identity,1,0,own_role,384,0.0026041667442768812,0.004000000189989805,0.0034611131995916367
16150,identity,1,0,phase_only,384,0.0,0.0,0.0025168315041810274
16150,identity,1,0,own_plus_phase,384,0.0026041667442768812,0.006000000052154064,0.0047723157331347466
16150,identity,1,0,cross_plus_phase,384,0.0,0.0,0.002540607238188386
16150,identity,1,0,entities_plus_phase,384,1.0,0.7680000066757202,0.4930243194103241
16150,identity,1,0,shuffled_own_plus_phase,384,0.1302083283662796,0.3619999885559082,0.2814542055130005
16150,identity,1,0,random_norm_own_plus_phase,384,0.0,0.0020000000949949026,0.003444335423409939
16150,identity,1,3,own_role,257,0.0038910505827516317,0.0020000000949949026,0.005377608817070723
16150,identity,1,3,phase_only,257,0.0,0.0,0.0037287843879312277
16150,identity,1,3,own_plus_phase,257,0.0038910505827516317,0.0020000000949949026,0.007083206903189421
16150,identity,1,3,cross_plus_phase,257,0.0,0.0,0.0038901381194591522
16150,identity,1,3,entities_plus_phase,257,1.0,0.5139999985694885,0.041052062064409256
16150,identity,1,3,shuffled_own_plus_phase,257,0.15175096690654755,0.4819999933242798,0.169778972864151
16150,identity,1,3,random_norm_own_plus_phase,257,0.0,0.004000000189989805,0.006693182047456503
16150,identity,2,0,own_role,384,0.0,0.0,0.0
16150,identity,2,0,phase_only,384,1.0,0.7680000066757202,0.4947478175163269
16150,identity,2,0,own_plus_phase,384,1.0,0.7680000066757202,0.4947478175163269
16150,identity,2,0,cross_plus_phase,384,1.0,0.7680000066757202,0.4947478175163269
16150,identity,2,0,entities_plus_phase,384,1.0,0.7680000066757202,0.4947478175163269
16150,identity,2,0,shuffled_own_plus_phase,384,0.328125,0.6179999709129333,0.4795301556587219
16150,identity,2,0,random_norm_own_plus_phase,384,0.0026041667442768812,0.006000000052154064,0.13265658915042877
16150,identity,2,3,own_role,257,0.0,0.0,0.0
16150,identity,2,3,phase_only,257,1.0,0.5139999985694885,0.041486091911792755
16150,identity,2,3,own_plus_phase,257,1.0,0.5139999985694885,0.041486091911792755
16150,identity,2,3,cross_plus_phase,257,1.0,0.5139999985694885,0.041486091911792755
16150,identity,2,3,entities_plus_phase,257,1.0,0.5139999985694885,0.041486091911792755
16150,identity,2,3,shuffled_own_plus_phase,257,0.2840466797351837,0.7279999852180481,0.3194301724433899
16150,identity,2,3,random_norm_own_plus_phase,257,0.015564202331006527,0.029999999329447746,0.10702899843454361
16150,beneficiary,0,1,own_role,359,1.0,0.7179999947547913,0.2645878195762634
16150,beneficiary,0,1,phase_only,359,0.0,0.0,0.0
16150,beneficiary,0,1,own_plus_phase,359,1.0,0.7179999947547913,0.2645878195762634
16150,beneficiary,0,1,cross_plus_phase,359,0.0,0.0,0.0
16150,beneficiary,0,1,entities_plus_phase,359,0.0,0.0,0.0
16150,beneficiary,0,1,shuffled_own_plus_phase,359,0.4846796691417694,0.35199999809265137,0.15305010974407196
16150,beneficiary,0,1,random_norm_own_plus_phase,359,0.08356545865535736,0.08799999952316284,0.06170589476823807
16150,beneficiary,0,3,own_role,275,1.0,0.550000011920929,0.054160770028829575
16150,beneficiary,0,3,phase_only,275,0.0,0.0,0.0
