factor,layer,phase,patch,mean_follow,min_follow,max_follow,mean_policy_change,mean_outcome_change,total_conflicts
beneficiary,0,1,cross_plus_phase,0.0,0.0,0.0,0.0,0.0,1114
beneficiary,0,1,entities_plus_phase,0.0,0.0,0.0,0.0,0.0,1114
beneficiary,0,1,own_plus_phase,1.0,1.0,1.0,0.7426666816075643,0.2656401991844177,1114
beneficiary,0,1,own_role,1.0,1.0,1.0,0.7426666816075643,0.2656401991844177,1114
beneficiary,0,1,phase_only,0.0,0.0,0.0,0.0,0.0,1114
beneficiary,0,1,random_norm_own_plus_phase,0.1527486393849055,0.08356545865535736,0.21391752362251282,0.15000000099341074,0.09431041280428569,1114
beneficiary,0,1,shuffled_own_plus_phase,0.498193879922231,0.46866485476493835,0.5412371158599854,0.3793333371480306,0.1573611299196879,1114
beneficiary,0,3,cross_plus_phase,0.0,0.0,0.0,0.0,0.0,823
beneficiary,0,3,entities_plus_phase,0.0,0.0,0.0,0.0,0.0,823
beneficiary,0,3,own_plus_phase,1.0,1.0,1.0,0.5486666758855184,0.049498364329338074,823
beneficiary,0,3,own_role,1.0,1.0,1.0,0.5486666758855184,0.049498364329338074,823
beneficiary,0,3,phase_only,0.0,0.0,0.0,0.0,0.0,823
beneficiary,0,3,random_norm_own_plus_phase,0.15675740440686545,0.1345454603433609,0.1696750968694687,0.12133333335320155,0.045598760868112244,823
beneficiary,0,3,shuffled_own_plus_phase,0.4710545539855957,0.40590405464172363,0.5054545402526855,0.27533332506815594,0.0383190264304479,823
beneficiary,1,1,cross_plus_phase,0.23197553865611553,0.022284122183918953,0.6082473993301392,0.21133333444595337,0.11259611199299495,1114
beneficiary,1,1,entities_plus_phase,0.4963363806406657,0.10081744194030762,0.7799443006515503,0.37666666011015576,0.1656388541062673,1114
beneficiary,1,1,own_plus_phase,0.7459770739078522,0.25626739859580994,0.9945504069328308,0.5760000099738439,0.20937616378068924,1114
beneficiary,1,1,own_role,0.4708934972683589,0.2200557142496109,0.8446866273880005,0.36000000933806103,0.15578017383813858,1114
beneficiary,1,1,phase_only,0.23197553865611553,0.022284122183918953,0.6082473993301392,0.21133333444595337,0.11265675102670987,1114
beneficiary,1,1,random_norm_own_plus_phase,0.03677908796817064,0.011142061091959476,0.07084468752145767,0.047999998554587364,0.09646530449390411,1114
beneficiary,1,1,shuffled_own_plus_phase,0.30936137835184735,0.208913654088974,0.3840206265449524,0.5333333214124044,0.23243628442287445,1114
