seed,factor,phase,patch,conflict_n,follow,policy_change
16150,identity,0,role_only,520,0.0,0.0014285714132711291
16150,identity,0,entities_only,520,1.0,0.7428571581840515
16150,identity,0,phase_only,520,0.0,0.0
16150,identity,0,role_entities,520,1.0,0.7428571581840515
16150,identity,0,role_phase,520,0.0,0.0014285714132711291
16150,identity,0,entities_phase,520,1.0,0.7428571581840515
16150,identity,0,full_relation_coalition,520,1.0,0.7428571581840515
16150,identity,0,shuffled_full,520,0.3499999940395355,0.6299999952316284
16150,identity,0,random_norm_full,520,0.036538463085889816,0.07999999821186066
16150,identity,3,role_only,316,0.012658228166401386,0.0057142856530845165
16150,identity,3,entities_only,316,0.9905063509941101,0.4471428692340851
16150,identity,3,phase_only,316,0.0,0.0
16150,identity,3,role_entities,316,0.9936708807945251,0.44999998807907104
16150,identity,3,role_phase,316,0.01582278497517109,0.0071428571827709675
16150,identity,3,entities_phase,316,0.9841772317886353,0.4457142949104309
16150,identity,3,full_relation_coalition,316,1.0,0.4514285624027252
16150,identity,3,shuffled_full,316,0.29113924503326416,0.6928571462631226
16150,identity,3,random_norm_full,316,0.08227848261594772,0.09000000357627869
16150,beneficiary,1,role_only,521,0.19001919031143188,0.15000000596046448
16150,beneficiary,1,entities_only,521,0.6660268902778625,0.5357142686843872
16150,beneficiary,1,phase_only,521,0.04798464477062225,0.10857142508029938
16150,beneficiary,1,role_entities,521,0.8867562413215637,0.727142870426178
16150,beneficiary,1,role_phase,521,0.2687140107154846,0.23428571224212646
16150,beneficiary,1,entities_phase,521,0.7236084342002869,0.5528571605682373
16150,beneficiary,1,full_relation_coalition,521,1.0,0.7442857027053833
16150,beneficiary,1,shuffled_full,521,0.3186180293560028,0.6371428370475769
16150,beneficiary,1,random_norm_full,521,0.0191938579082489,0.025714285671710968
16150,beneficiary,3,role_only,370,0.0,0.0
16150,beneficiary,3,entities_only,370,0.9945945739746094,0.5257142782211304
16150,beneficiary,3,phase_only,370,0.0,0.0014285714132711291
16150,beneficiary,3,role_entities,370,0.9945945739746094,0.5257142782211304
16150,beneficiary,3,role_phase,370,0.0,0.0014285714132711291
16150,beneficiary,3,entities_phase,370,0.9972972869873047,0.5285714268684387
16150,beneficiary,3,full_relation_coalition,370,0.9972972869873047,0.5285714268684387
16150,beneficiary,3,shuffled_full,370,0.26756757497787476,0.6899999976158142
16150,beneficiary,3,random_norm_full,370,0.029729729518294334,0.034285712987184525
16150,concern,2,role_only,513,0.9278752207756042,0.7071428298950195
16150,concern,2,entities_only,513,0.0,0.0
16150,concern,2,phase_only,513,0.02144249528646469,0.03285714238882065
16150,concern,2,role_entities,513,0.9278752207756042,0.7071428298950195
16150,concern,2,role_phase,513,0.9980506896972656,0.7328571677207947
16150,concern,2,entities_phase,513,0.02144249528646469,0.034285712987184525
16150,concern,2,full_relation_coalition,513,0.9980506896972656,0.7314285635948181
16150,concern,2,shuffled_full,513,0.3255360722541809,0.5442857146263123
16150,concern,2,random_norm_full,513,0.01949317753314972,0.02142857201397419
16150,concern,3,role_only,196,0.9795918464660645,0.27571427822113037
16150,concern,3,entities_only,196,0.010204081423580647,0.004285714123398066
16150,concern,3,phase_only,196,0.015306122601032257,0.0057142856530845165
16150,concern,3,role_entities,196,0.9795918464660645,0.2742857038974762
16150,concern,3,role_phase,196,0.9948979616165161,0.28142857551574707
16150,concern,3,entities_phase,196,0.020408162847161293,0.0071428571827709675
16150,concern,3,full_relation_coalition,196,1.0,0.2800000011920929
16150,concern,3,shuffled_full,196,0.2448979616165161,0.7214285731315613
16150,concern,3,random_norm_full,196,0.025510204955935478,0.012857142835855484
16151,identity,0,role_only,526,0.0,0.0
16151,identity,0,entities_only,526,0.9847908616065979,0.7400000095367432
16151,identity,0,phase_only,526,0.0,0.0
16151,identity,0,role_entities,526,1.0,0.7514285445213318
16151,identity,0,role_phase,526,0.011406844481825829,0.008571428246796131
16151,identity,0,entities_phase,526,0.9980988502502441,0.75
16151,identity,0,full_relation_coalition,526,1.0,0.7514285445213318
16151,identity,0,shuffled_full,526,0.3460076153278351,0.6100000143051147
16151,identity,0,random_norm_full,526,0.0076045626774430275,0.009999999776482582
16151,identity,3,role_only,332,0.07831325381994247,0.037142857909202576
16151,identity,3,entities_only,332,0.16265060007572174,0.07999999821186066
16151,identity,3,phase_only,332,0.47590360045433044,0.22857142984867096
16151,identity,3,role_entities,332,0.35843372344970703,0.17142857611179352
16151,identity,3,role_phase,332,0.641566276550293,0.30714285373687744
16151,identity,3,entities_phase,332,0.8463855385780334,0.404285728931427
16151,identity,3,full_relation_coalition,332,0.9879518151283264,0.46857142448425293
16151,identity,3,shuffled_full,332,0.3042168617248535,0.6642857193946838
16151,identity,3,random_norm_full,332,0.05722891539335251,0.05285714194178581
16151,beneficiary,1,role_only,514,0.8754863739013672,0.6571428775787354
16151,beneficiary,1,entities_only,514,0.0,0.0
16151,beneficiary,1,phase_only,514,0.07587548345327377,0.07999999821186066
16151,beneficiary,1,role_entities,514,0.924124538898468,0.6942856907844543
16151,beneficiary,1,role_phase,514,0.9980545043945312,0.7342857122421265
16151,beneficiary,1,entities_phase,514,0.08365758508443832,0.07857143133878708
16151,beneficiary,1,full_relation_coalition,514,1.0,0.7342857122421265
16151,beneficiary,1,shuffled_full,514,0.34241244196891785,0.6399999856948853
16151,beneficiary,1,random_norm_full,514,0.046692606061697006,0.04285714402794838
16151,beneficiary,3,role_only,394,0.4974619150161743,0.3385714292526245
16151,beneficiary,3,entities_only,394,0.0025380710139870644,0.0014285714132711291
16151,beneficiary,3,phase_only,394,0.24873095750808716,0.24285714328289032
16151,beneficiary,3,role_entities,394,0.5329949259757996,0.3685714304447174
16151,beneficiary,3,role_phase,394,0.9949238300323486,0.5642856955528259
16151,beneficiary,3,entities_phase,394,0.2868020236492157,0.24142856895923615
16151,beneficiary,3,full_relation_coalition,394,1.0,0.5628571510314941
16151,beneficiary,3,shuffled_full,394,0.29441624879837036,0.6957142949104309
16151,beneficiary,3,random_norm_full,394,0.04568528011441231,0.058571428060531616
16151,concern,2,role_only,490,1.0,0.699999988079071
16151,concern,2,entities_only,490,0.0,0.0
16151,concern,2,phase_only,490,0.0,0.0
16151,concern,2,role_entities,490,1.0,0.699999988079071
16151,concern,2,role_phase,490,1.0,0.699999988079071
16151,concern,2,entities_phase,490,0.0,0.0
16151,concern,2,full_relation_coalition,490,1.0,0.699999988079071
16151,concern,2,shuffled_full,490,0.36734694242477417,0.5099999904632568
16151,concern,2,random_norm_full,490,0.06122449040412903,0.06285714358091354
16151,concern,3,role_only,193,1.0,0.27571427822113037
16151,concern,3,entities_only,193,0.0,0.0
16151,concern,3,phase_only,193,0.010362694039940834,0.0057142856530845165
16151,concern,3,role_entities,193,1.0,0.27571427822113037
16151,concern,3,role_phase,193,1.0,0.27571427822113037
16151,concern,3,entities_phase,193,0.010362694039940834,0.0057142856530845165
16151,concern,3,full_relation_coalition,193,1.0,0.27571427822113037
16151,concern,3,shuffled_full,193,0.25388601422309875,0.6985714435577393
16151,concern,3,random_norm_full,193,0.02590673603117466,0.018571428954601288
16152,identity,0,role_only,523,0.0,0.0
16152,identity,0,entities_only,523,0.0,0.0
16152,identity,0,phase_only,523,0.9980879426002502,0.7457143068313599
16152,identity,0,role_entities,523,0.0,0.0
16152,identity,0,role_phase,523,1.0,0.7471428513526917
16152,identity,0,entities_phase,523,0.9980879426002502,0.7457143068313599
16152,identity,0,full_relation_coalition,523,1.0,0.7471428513526917
16152,identity,0,shuffled_full,523,0.3288719058036804,0.6228571534156799
16152,identity,0,random_norm_full,523,0.03632887080311775,0.07571428269147873
16152,identity,3,role_only,323,0.0030959751456975937,0.0014285714132711291
16152,identity,3,entities_only,323,0.0,0.0
16152,identity,3,phase_only,323,0.9969040155410767,0.46000000834465027
16152,identity,3,role_entities,323,0.0030959751456975937,0.0014285714132711291
16152,identity,3,role_phase,323,1.0,0.4628571569919586
16152,identity,3,entities_phase,323,0.9969040155410767,0.46000000834465027
16152,identity,3,full_relation_coalition,323,0.9969040155410767,0.46142858266830444
16152,identity,3,shuffled_full,323,0.2414860725402832,0.7485714554786682
16152,identity,3,random_norm_full,323,0.03405572846531868,0.03857142850756645
16152,beneficiary,1,role_only,538,0.3661710023880005,0.29571428894996643
16152,beneficiary,1,entities_only,538,0.0,0.0
16152,beneficiary,1,phase_only,538,0.6319702863693237,0.5
16152,beneficiary,1,role_entities,538,0.3661710023880005,0.29571428894996643
16152,beneficiary,1,role_phase,538,0.9962825179100037,0.7685714364051819
16152,beneficiary,1,entities_phase,538,0.6356877088546753,0.5014285445213318
16152,beneficiary,1,full_relation_coalition,538,0.9944238066673279,0.7657142877578735
16152,beneficiary,1,shuffled_full,538,0.36059480905532837,0.6214285492897034
16152,beneficiary,1,random_norm_full,538,0.03531598672270775,0.07000000029802322
16152,beneficiary,3,role_only,370,0.010810811072587967,0.0071428571827709675
16152,beneficiary,3,entities_only,370,0.0,0.0
16152,beneficiary,3,phase_only,370,0.9324324131011963,0.5057142972946167
16152,beneficiary,3,role_entities,370,0.013513513840734959,0.008571428246796131
16152,beneficiary,3,role_phase,370,0.9972972869873047,0.5299999713897705
16152,beneficiary,3,entities_phase,370,0.9324324131011963,0.5057142972946167
16152,beneficiary,3,full_relation_coalition,370,0.9972972869873047,0.5285714268684387
16152,beneficiary,3,shuffled_full,370,0.272972971200943,0.7442857027053833
16152,beneficiary,3,random_norm_full,370,0.04054053872823715,0.1071428582072258
16152,concern,2,role_only,495,0.09898989647626877,0.08571428805589676
16152,concern,2,entities_only,495,0.0,0.0
16152,concern,2,phase_only,495,0.8464646339416504,0.6142857074737549
16152,concern,2,role_entities,495,0.09494949132204056,0.08285713940858841
16152,concern,2,role_phase,495,1.0,0.7071428298950195
16152,concern,2,entities_phase,495,0.8505050539970398,0.6157143115997314
16152,concern,2,full_relation_coalition,495,1.0,0.7071428298950195
16152,concern,2,shuffled_full,495,0.3696969747543335,0.5185714364051819
16152,concern,2,random_norm_full,495,0.0181818176060915,0.02142857201397419
16152,concern,3,role_only,184,0.005434782709926367,0.0014285714132711291
16152,concern,3,entities_only,184,0.0,0.0
16152,concern,3,phase_only,184,0.9619565010070801,0.2542857229709625
16152,concern,3,role_entities,184,0.005434782709926367,0.0014285714132711291
16152,concern,3,role_phase,184,1.0,0.26428571343421936
