factor,phase,patch,mean_follow,min_follow,max_follow,mean_policy_change,total_conflicts
beneficiary,1,full_relation_coalition,0.9981412688891091,0.994423806667328,1.0,0.7480952342351278,1573
beneficiary,1,phase_only,0.2519434715310732,0.0479846447706222,0.6319702863693237,0.2295238077640533,1573
beneficiary,1,random_norm_full,0.0337341502308845,0.0191938579082489,0.046692606061697,0.0461904766658941,1573
beneficiary,1,shuffled_full,0.3405417601267497,0.3186180293560028,0.3605948090553283,0.6328571240107218,1573
beneficiary,3,full_relation_coalition,0.9981981913248698,0.9972972869873048,1.0,0.5400000015894572,1134
beneficiary,3,phase_only,0.3937211235364278,0.0,0.9324324131011964,0.250000003996926,1134
beneficiary,3,random_norm_full,0.0386518494536479,0.0297297295182943,0.0456852801144123,0.0666666664183139,1134
beneficiary,3,shuffled_full,0.2783189316590627,0.2675675749778747,0.2944162487983703,0.7099999984105428,1134
concern,2,full_relation_coalition,0.9993502298990884,0.9980506896972656,1.0,0.7128571271896362,1498
concern,2,phase_only,0.2893023764093717,0.0,0.8464646339416504,0.2157142832875251,1498
concern,2,random_norm_full,0.0329664951811234,0.0181818176060915,0.061224490404129,0.0352380958696206,1498
concern,2,shuffled_full,0.3541933298110962,0.3255360722541809,0.3696969747543335,0.5242857138315836,1498
concern,3,full_relation_coalition,1.0,1.0,1.0,0.2733333309491475,573
concern,3,phase_only,0.3292084392160177,0.0103626940399408,0.96195650100708,0.0885714314257105,573
concern,3,random_norm_full,0.0352549217641353,0.0255102049559354,0.0543478243052959,0.0223809530337651,573
concern,3,shuffled_full,0.2785801688830058,0.2448979616165161,0.3369565308094024,0.7104761997858683,573
identity,0,full_relation_coalition,1.0,1.0,1.0,0.7471428513526917,1569
identity,0,phase_only,0.33269598086675,0.0,0.9980879426002502,0.2485714356104532,1569
identity,0,random_norm_full,0.0268239655221502,0.007604562677443,0.0365384630858898,0.0552380935599406,1569
identity,0,shuffled_full,0.341626505057017,0.3288719058036804,0.3499999940395355,0.6209523876508077,1569
identity,3,full_relation_coalition,0.9949519435564677,0.9879518151283264,1.0,0.4604761898517608,971
identity,3,phase_only,0.490935871998469,0.0,0.9969040155410768,0.229523812731107,971
identity,3,random_norm_full,0.0578543754915396,0.0340557284653186,0.0822784826159477,0.0604761913418769,971
identity,3,shuffled_full,0.278947393099467,0.2414860725402832,0.3042168617248535,0.7019047737121582,971
