seed,factor,phase,patch,conflict_n,policy_follow,policy_change,outcome_diff_n,outcome_closer_cf,outcome_mediation,model_output_shift,cf_model_gap
16160,identity,0,role_only,382,0.0,0.0,382,0.5497382283210754,0.0010931955184787512,0.0020762882195413113,0.4714733064174652
16160,identity,0,entities_only,382,1.0,0.7639999985694885,382,1.0,0.9494134187698364,0.4720228910446167,0.4714733064174652
16160,identity,0,phase_only,382,0.0,0.0,382,0.4921466112136841,-1.9261193301645108e-05,0.0005309325060807168,0.4714733064174652
16160,identity,0,role_phase,382,0.0,0.0,382,0.5235602259635925,0.0010669244220480323,0.0021642111241817474,0.4714733064174652
16160,identity,0,entities_phase,382,1.0,0.7639999985694885,382,1.0,0.9496490359306335,0.4721046984195709,0.4714733064174652
16160,identity,0,full_relation_coalition,382,1.0,0.7639999985694885,382,1.0,0.9508713483810425,0.4724011719226837,0.4714733064174652
16160,identity,0,shuffled_full,382,0.36910995841026306,0.6359999775886536,382,0.5392670035362244,0.08498191833496094,0.47772571444511414,0.4714733064174652
16160,identity,0,random_norm_full,382,0.010471204295754433,0.014000000432133675,382,0.5706806182861328,0.03166072070598602,0.033975884318351746,0.4714733064174652
16160,identity,3,role_only,231,0.0,0.0020000000949949026,0,,,0.00202677259221673,0.06348112970590591
16160,identity,3,entities_only,231,1.0,0.4620000123977661,0,,,0.0630020871758461,0.06348112970590591
16160,identity,3,phase_only,231,0.0,0.0020000000949949026,0,,,0.0021305368281900883,0.06348112970590591
16160,identity,3,role_phase,231,0.0,0.0020000000949949026,0,,,0.0031875295098870993,0.06348112970590591
16160,identity,3,entities_phase,231,1.0,0.4620000123977661,0,,,0.06304144114255905,0.06348112970590591
16160,identity,3,full_relation_coalition,231,1.0,0.4620000123977661,0,,,0.06336946040391922,0.06348112970590591
16160,identity,3,shuffled_full,231,0.3030303120613098,0.7059999704360962,0,,,0.26915648579597473,0.06348112970590591
16160,identity,3,random_norm_full,231,0.021645022556185722,0.03200000151991844,0,,,0.048603422939777374,0.06348112970590591
16160,beneficiary,1,role_only,372,0.0,0.0,353,0.4872521162033081,-0.0006894072284922004,0.004875450860708952,0.22697541117668152
16160,beneficiary,1,entities_only,372,1.0,0.7440000176429749,353,0.9603399634361267,0.6296948790550232,0.2264263927936554,0.22697541117668152
16160,beneficiary,1,phase_only,372,0.0,0.0,353,0.5184136033058167,-0.0002456408692523837,0.0007644165307283401,0.22697541117668152
