factor,phase,patch,mean_policy_follow,min_policy_follow,max_policy_follow,mean_policy_change,mean_outcome_closer_cf,mean_outcome_mediation,mean_model_output_shift,total_conflicts,total_outcome_diff
beneficiary,1,entities_only,0.9947674393653869,0.9738371968269348,1.0,0.7228000044822693,0.9410272717475892,0.6026128828525543,0.20937648117542268,1812,1711
beneficiary,1,entities_phase,0.9947674393653869,0.9738371968269348,1.0,0.7228000044822693,0.9452684998512269,0.6021015763282775,0.20922013521194457,1812,1711
beneficiary,1,full_relation_coalition,0.9953488349914551,0.9767441749572754,1.0,0.723200011253357,0.9539653778076171,0.6153915464878082,0.20584810376167298,1812,1711
beneficiary,1,phase_only,0.0,0.0,0.0,0.0,0.5019859313964844,-0.000933738733874634,0.003872283617965877,1812,1711
beneficiary,1,random_norm_full,0.0505654338747263,0.029069768264889717,0.06400000303983688,0.08720000013709069,0.5149977147579193,-0.06240828298032284,0.08656008169054985,1812,1711
beneficiary,1,role_only,0.001600000075995922,0.0,0.00800000037997961,0.0012000000104308128,0.5257476925849914,0.00514431360643357,0.013335154298692942,1812,1711
beneficiary,1,role_phase,0.0021333333104848863,0.0,0.01066666655242443,0.001600000075995922,0.531077092885971,0.004514625784941018,0.014731687889434398,1812,1711
beneficiary,1,shuffled_full,0.3425802648067474,0.29600000381469727,0.40406978130340576,0.5888000011444092,0.427167809009552,-0.5959790050983429,0.31848280429840087,1812,1711
beneficiary,3,entities_only,0.8052663266658783,0.4845360815525055,1.0,0.4871999979019165,,,0.07506790682673455,1418,0
beneficiary,3,entities_phase,0.8052663266658783,0.4845360815525055,1.0,0.48679999709129335,,,0.07510802000761033,1418,0
beneficiary,3,full_relation_coalition,0.8699820756912231,0.6323024034500122,1.0,0.5080000042915345,,,0.0730594165623188,1418,0
beneficiary,3,phase_only,0.0,0.0,0.0,0.0,,,0.00230927977245301,1418,0
beneficiary,3,random_norm_full,0.05294554531574249,0.03780068829655647,0.09302325546741486,0.0791999988257885,,,0.06677620187401771,1418,0
beneficiary,3,role_only,0.027032904047518968,0.0,0.08970099687576294,0.02360000004991889,,,0.014760284638032316,1418,0
beneficiary,3,role_phase,0.02840747432783246,0.0,0.08970099687576294,0.024399999435991047,,,0.01570299733430147,1418,0
beneficiary,3,shuffled_full,0.23436050713062287,0.18900343775749207,0.2753623127937317,0.698800003528595,,,0.30598917603492737,1418,0
concern,2,entities_only,0.00103800636716187,0.0,0.0026455025654286146,0.000800000037997961,0.43824824690818787,-0.007117516877133312,0.004090991674456745,1949,1857
concern,2,entities_phase,0.6373015888035297,0.0357142873108387,1.0,0.5100000090897083,0.7972501814365387,0.46398707255721094,0.17350464649498462,1949,1857
concern,2,full_relation_coalition,0.9994709014892578,0.9973545074462891,1.0,0.7796000003814697,0.9800015926361084,0.7716149091720581,0.26057163774967196,1949,1857
concern,2,phase_only,0.6373015888035297,0.0357142873108387,1.0,0.5100000090897083,0.796672648191452,0.4625790812075138,0.17418696433305741,1949,1857
concern,2,random_norm_full,0.028645283170044424,0.010204081423580647,0.04325699806213379,0.07080000024288893,0.5327457904815673,-0.07720672562718392,0.10883264914155007,1949,1857
concern,2,role_only,0.3489216103218496,0.0,0.9642857313156128,0.28360000173561273,0.6921045541763305,0.2760732149123214,0.10744528113864363,1949,1857
concern,2,role_phase,0.9994709014892578,0.9973545074462891,1.0,0.7796000003814697,0.9805085897445679,0.7704823017120361,0.2612600326538086,1949,1857
concern,2,shuffled_full,0.36484885811805723,0.3333333432674408,0.3867684602737427,0.573200011253357,0.5092585504055023,-0.4701889455318451,0.3307725191116333,1949,1857
concern,3,entities_only,0.00279720276594162,0.0,0.0139860138297081,0.000800000037997961,0.38822532296180723,-0.012286124279489741,0.0062333745649084445,689,1857
concern,3,entities_phase,0.4659890912473202,0.05714285746216774,1.0,0.13400000482797622,0.6463125884532929,0.24880313947796823,0.11319095268845558,689,1857
concern,3,full_relation_coalition,0.8154838711023331,0.07741935551166534,1.0,0.2208000048995018,0.8134360015392303,0.5151674665510655,0.2009983893483877,689,1857
concern,3,phase_only,0.4632903225719929,0.05714285746216774,1.0,0.13320000357925893,0.6420195132493973,0.24677977338433266,0.11443285699933767,689,1857
concern,3,random_norm_full,0.04428926082327962,0.006451612804085016,0.07746478915214539,0.0272000003606081,0.5015962243080139,-0.034823239874094726,0.06321090161800384,689,1857
concern,3,role_only,0.3569724798202515,0.0,0.949999988079071,0.09079999923706054,0.7947693228721618,0.25689762614201755,0.09765023541403935,689,1857
concern,3,role_phase,0.8127851024270057,0.07096774131059647,1.0,0.21960000321269035,0.8080691546201706,0.5121340207755566,0.20254501197487115,689,1857
concern,3,shuffled_full,0.29096164703369143,0.23943662643432617,0.3486238420009613,0.6924000024795532,0.4465116381645203,-0.7146445095539093,0.32091965079307555,689,1857
identity,0,entities_only,0.9957160115242004,0.9892183542251587,1.0,0.7480000138282776,1.0,0.9416895270347595,0.4675909459590912,1878,1878
identity,0,entities_phase,0.9957160115242004,0.9892183542251587,1.0,0.7480000138282776,1.0,0.9417886734008789,0.4676621913909912,1878,1878
