seed,layer,token,factor_a,factor_b,projection_overlap,min_angle_deg,mean_angle_deg
16130,0,cls,identity,beneficiary,1.0,0.0,0.0
16130,0,cls,identity,concern,1.0,0.0,0.0
16130,0,cls,beneficiary,concern,1.0,0.0,0.0
16130,0,entity0,identity,beneficiary,1.0,0.0,0.0
16130,0,entity0,identity,concern,1.0,0.0,0.0
16130,0,entity0,beneficiary,concern,1.0,0.0,0.0
16130,0,entity1,identity,beneficiary,1.0,0.0,0.0
16130,0,entity1,identity,concern,1.0,0.0,0.0
16130,0,entity1,beneficiary,concern,1.0,0.0,0.0
16130,0,identity_role,identity,beneficiary,0.0328881225149317,77.60503503535551,79.76808468928928
16130,0,identity_role,identity,concern,0.0328881225149317,77.60503503535551,79.76808468928928
16130,0,identity_role,beneficiary,concern,1.0,0.0,0.0
16130,0,beneficiary_role,identity,beneficiary,0.0399077949113254,76.26491543272056,78.72900235546315
16130,0,beneficiary_role,identity,concern,1.0,0.0,0.0
16130,0,beneficiary_role,beneficiary,concern,0.0399077949113254,76.26491543272056,78.72900235546315
16130,0,concern_context,identity,beneficiary,1.0,0.0,0.0
16130,0,concern_context,identity,concern,1.0,0.0,0.0
16130,0,concern_context,beneficiary,concern,1.0,0.0,0.0
16130,0,query,identity,beneficiary,1.0,0.0,0.0
16130,0,query,identity,concern,1.0,0.0,0.0
16130,0,query,beneficiary,concern,1.0,0.0,0.0
16130,1,cls,identity,beneficiary,0.7302381877525139,18.512976790344844,29.996088769839268
16130,1,cls,identity,concern,0.454326917810871,38.57862495815463,47.761598470141
16130,1,cls,beneficiary,concern,0.3771751078346139,38.836234145816654,53.12145250122978
16130,1,entity0,identity,beneficiary,0.538936792449638,26.034612092116497,42.34733953659679
16130,1,entity0,identity,concern,0.3533781558936374,39.56788716057347,54.98451423221884
16130,1,entity0,beneficiary,concern,0.2575050011632303,45.003824310934505,63.97541233473205
16130,1,entity1,identity,beneficiary,0.4916021594155925,19.83545377945475,45.779690154198114
16130,1,entity1,identity,concern,0.1664800667424102,55.016845200440905,70.6402652674353
16130,1,entity1,beneficiary,concern,0.1497431842555844,57.26501849590976,71.22059950364923
16130,1,identity_role,identity,beneficiary,0.0659355053604245,68.93590768228619,77.98035505559861
16130,1,identity_role,identity,concern,0.0341173453353489,74.98025156541442,81.55069447587414
16130,1,identity_role,beneficiary,concern,0.1098634365699668,62.44740669253142,74.04688013010244
16130,1,beneficiary_role,identity,beneficiary,0.0666613220897653,69.53713769770602,76.74439215750121
16130,1,beneficiary_role,identity,concern,0.2273259492946575,52.27317801516029,62.909298236452216
16130,1,beneficiary_role,beneficiary,concern,0.0132458053802852,80.64216911679856,85.11269564396305
16130,1,concern_context,identity,beneficiary,0.5487812395993933,21.242503427125637,41.331835411142606
16130,1,concern_context,identity,concern,0.2075666860192806,49.89036626538854,69.7013700753604
16130,1,concern_context,beneficiary,concern,0.2495082038865168,45.05691061085836,67.43930240148461
16130,1,query,identity,beneficiary,0.4048456420718722,33.192656203547166,51.93900374509724
16130,1,query,identity,concern,0.0708362464915903,68.82415887759845,76.37671418378847
16130,1,query,beneficiary,concern,0.2067475620126378,50.881583887680776,66.87318002287726
16130,2,cls,identity,beneficiary,0.875956720730213,13.345228555431609,19.768356020469927
16130,2,cls,identity,concern,0.2121262296892285,49.96167957960116,67.05171481783226
16130,2,cls,beneficiary,concern,0.2165047650552976,48.99807475221636,68.04814185592556
16130,2,entity0,identity,beneficiary,0.8144295656039919,18.88055316305527,24.97795524285963
16130,2,entity0,identity,concern,0.2289156606225046,49.67172328612569,64.14037705438946
16130,2,entity0,beneficiary,concern,0.2888421628484904,48.54155135038398,58.31172045674416
16130,2,entity1,identity,beneficiary,0.4992276588830074,22.070124564724303,45.063688329407626
16130,2,entity1,identity,concern,0.3481029854955966,35.5026386066262,57.48092042014304
16130,2,entity1,beneficiary,concern,0.2390687013053394,59.56110560404024,60.74357973656721
16130,2,identity_role,identity,beneficiary,0.082087327704474,67.79829456439855,74.69420244393831
16130,2,identity_role,identity,concern,0.0651283086188762,69.60556937029776,77.10871110367329
16130,2,identity_role,beneficiary,concern,0.1376871798333613,58.34926357116485,74.03911646086866
16130,2,beneficiary_role,identity,beneficiary,0.1469153043774319,60.45692387035749,68.72180307389112
16130,2,beneficiary_role,identity,concern,0.0556303090596191,71.03927801318042,78.35705625191082
16130,2,beneficiary_role,beneficiary,concern,0.0684359195515002,68.62527261257591,77.4913500357801
16130,2,concern_context,identity,beneficiary,0.8727477758928779,14.1332746277752,20.164974834167552
16130,2,concern_context,identity,concern,0.2597381325355949,48.6604179457765,60.94836890748167
16130,2,concern_context,beneficiary,concern,0.2800407727186124,47.85936061479226,59.249220592792
16130,2,query,identity,beneficiary,0.4580191382502838,22.177738609291985,49.08862536836127
16130,2,query,identity,concern,0.3302145691197989,47.95785907555459,55.27268997718953
16130,2,query,beneficiary,concern,0.3565171609739618,32.728423117753245,59.26789259398811
16130,3,cls,identity,beneficiary,0.8689986216051275,13.55015804467541,20.3104767403232
16130,3,cls,identity,concern,0.20836020469314,50.36332423708293,67.34360023071508
16130,3,cls,beneficiary,concern,0.2126983663533833,49.37348558624434,68.60228254952324
16130,3,entity0,identity,beneficiary,0.8156437397046931,18.54570565093279,24.84690523274191
16130,3,entity0,identity,concern,0.2286122677104231,49.41521444017008,64.39638835494434
16130,3,entity0,beneficiary,concern,0.2924275452022398,48.2185789261623,58.08532127401365
16130,3,entity1,identity,beneficiary,0.4951248545014857,22.16999617487166,45.40558550330661
16130,3,entity1,identity,concern,0.347845454251262,35.77710698302362,57.30659916662104
16130,3,entity1,beneficiary,concern,0.2505616427261462,58.18300495866525,59.99594240181054
16130,3,identity_role,identity,beneficiary,0.0833198988847397,67.65204306573791,74.55481088689524
16130,3,identity_role,identity,concern,0.0665573695251538,69.58876103116135,76.71845921697941
16130,3,identity_role,beneficiary,concern,0.1456757578127337,57.33714014549415,73.41054509564577
16130,3,beneficiary_role,identity,beneficiary,0.1295001343962087,62.212972749477615,70.21709112034232
16130,3,beneficiary_role,identity,concern,0.055618741770695,71.44988073668539,77.85129935661811
16130,3,beneficiary_role,beneficiary,concern,0.0769062605891952,67.05914280473226,77.28588393896096
16130,3,concern_context,identity,beneficiary,0.8613155148138414,14.16006375897873,20.98030443297477
16130,3,concern_context,identity,concern,0.2773969710947936,46.69877177730412,59.90361143629275
16130,3,concern_context,beneficiary,concern,0.2841077864063354,47.892023962661696,58.87369689397053
16130,3,query,identity,beneficiary,0.4609805892501828,22.487087520355725,48.67159679354383
16130,3,query,identity,concern,0.3419364341524313,47.688020419811096,54.49046515503892
16130,3,query,beneficiary,concern,0.3584450577965341,32.60146564053018,58.86910553926772
16131,0,cls,identity,beneficiary,1.0,0.0,0.0
16131,0,cls,identity,concern,1.0,0.0,0.0
16131,0,cls,beneficiary,concern,1.0,0.0,0.0
16131,0,entity0,identity,beneficiary,1.0,0.0,0.0
16131,0,entity0,identity,concern,1.0,0.0,0.0
16131,0,entity0,beneficiary,concern,1.0,0.0,0.0
16131,0,entity1,identity,beneficiary,1.0,0.0,0.0
16131,0,entity1,identity,concern,1.0,0.0,0.0
16131,0,entity1,beneficiary,concern,1.0,0.0,0.0
16131,0,identity_role,identity,beneficiary,0.0285446518638906,77.94761176101419,80.63900631213838
16131,0,identity_role,identity,concern,0.0285446518638906,77.94761176101419,80.63900631213838
16131,0,identity_role,beneficiary,concern,1.0,0.0,0.0
16131,0,beneficiary_role,identity,beneficiary,0.0569418298296461,71.0522771652366,77.88897244758104
16131,0,beneficiary_role,identity,concern,1.0,0.0,0.0
16131,0,beneficiary_role,beneficiary,concern,0.056941829829646,71.0522771652366,77.88897244758104
16131,0,concern_context,identity,beneficiary,1.0,0.0,0.0
16131,0,concern_context,identity,concern,1.0,0.0,0.0
16131,0,concern_context,beneficiary,concern,1.0,0.0,0.0
16131,0,query,identity,beneficiary,1.0,0.0,0.0
16131,0,query,identity,concern,1.0,0.0,0.0
16131,0,query,beneficiary,concern,1.0,0.0,0.0
16131,1,cls,identity,beneficiary,0.4352002368327928,32.4813634668661,49.49868356983666
16131,1,cls,identity,concern,0.184722278436356,57.4930952975716,65.49761303314602
16131,1,cls,beneficiary,concern,0.1054528372283991,63.05317637194971,74.39065067829242
16131,1,entity0,identity,beneficiary,0.6264923503238018,35.48276574533764,37.65138209592895
16131,1,entity0,identity,concern,0.1655568411724474,55.14401545528809,70.65233005127021
16131,1,entity0,beneficiary,concern,0.296374630342277,47.06451759953804,58.01843217409204
16131,1,entity1,identity,beneficiary,0.6017153786931811,16.937576500695513,37.23102834161107
16131,1,entity1,identity,concern,0.3349465247335915,35.95345093683735,59.50526590756671
16131,1,entity1,beneficiary,concern,0.3604840678638723,37.340359903210334,54.998131809932985
16131,1,identity_role,identity,beneficiary,0.0073311699773442,83.32492572774561,85.69039330276408
16131,1,identity_role,identity,concern,0.0295799502816802,77.0632424231542,80.80373609809467
16131,1,identity_role,beneficiary,concern,0.2389849105855253,47.36366305691394,64.70187906491505
16131,1,beneficiary_role,identity,beneficiary,0.0913651880490012,64.79551903981209,76.33247998227196
16131,1,beneficiary_role,identity,concern,0.0223876788146412,77.92547982411624,83.04875271140402
16131,1,beneficiary_role,beneficiary,concern,0.0511860307282539,72.00889169792569,78.6096434124832
16131,1,concern_context,identity,beneficiary,0.5157006715975825,5.588851638263385,41.96152192774592
16131,1,concern_context,identity,concern,0.2433773018230243,46.48663276673,65.00932134477397
16131,1,concern_context,beneficiary,concern,0.3903473278363548,28.58206077315544,56.48292976370172
16131,1,query,identity,beneficiary,0.3643409940333503,31.42856873165368,60.02630043690925
16131,1,query,identity,concern,0.0309905181350204,76.98053901758523,80.44882092054192
16131,1,query,beneficiary,concern,0.1408419851494297,60.06397595910509,69.8268933354138
16131,2,cls,identity,beneficiary,0.311447544830983,40.31783772977597,59.27894144658099
16131,2,cls,identity,concern,0.2461896302114831,53.91709170324073,60.7465052546336
16131,2,cls,beneficiary,concern,0.2214729818443408,57.910110016667,62.13784546526722
16131,2,entity0,identity,beneficiary,0.354275100181998,37.2895220448568,55.6653337550176
16131,2,entity0,identity,concern,0.1976824592697491,51.60529792566876,67.98677134022498
16131,2,entity0,beneficiary,concern,0.2232196690051846,55.44396803904751,62.38214583039491
16131,2,entity1,identity,beneficiary,0.7708913031698286,19.06547591551803,27.713907216549103
16131,2,entity1,identity,concern,0.0682796119636537,72.53508617541449,75.04198608680511
16131,2,entity1,beneficiary,concern,0.1481746774796627,58.9534719009104,69.45883152726554
16131,2,identity_role,identity,beneficiary,0.0391361718933013,74.59150287376865,79.78255274067851
16131,2,identity_role,identity,concern,0.1195349222936819,61.222518088627226,73.15807299561256
16131,2,identity_role,beneficiary,concern,0.3533091325926233,32.84318520029047,60.6355341315265
