factor,layer,token,mean_bacc,min_bacc,max_bacc
beneficiary,0,beneficiary_role,1.0,1.0,1.0
beneficiary,1,beneficiary_role,1.0,1.0,1.0
beneficiary,2,beneficiary_role,1.0,1.0,1.0
beneficiary,3,beneficiary_role,1.0,1.0,1.0
beneficiary,1,concern_context,0.8227489177489179,0.6282467532467533,1.0
beneficiary,2,cls,0.7713306138306137,0.66,0.8863636363636364
beneficiary,3,cls,0.7713306138306137,0.66,0.8863636363636364
beneficiary,2,identity_role,0.7697569097569098,0.58,0.8831168831168831
beneficiary,3,identity_role,0.7630902430902431,0.56,0.8831168831168831
beneficiary,2,concern_context,0.7240909090909091,0.5,0.8522727272727273
beneficiary,3,concern_context,0.7240909090909091,0.5,0.8522727272727273
beneficiary,3,query,0.6794871794871794,0.5,1.0
beneficiary,1,entity1,0.6794097569097569,0.5800000000000001,0.8413461538461539
beneficiary,1,cls,0.6780128205128205,0.5,0.7740384615384616
beneficiary,2,entity0,0.674024864024864,0.6602564102564102,0.6818181818181819
beneficiary,3,entity0,0.674024864024864,0.6602564102564102,0.6818181818181819
beneficiary,2,query,0.673076923076923,0.5,1.0
beneficiary,1,identity_role,0.6606679431679432,0.5657051282051282,0.8400000000000001
beneficiary,1,entity0,0.6511319236319236,0.62,0.703525641025641
beneficiary,2,entity1,0.6441958041958042,0.52,0.7307692307692308
beneficiary,3,entity1,0.6441958041958042,0.52,0.7307692307692308
beneficiary,1,query,0.5918803418803419,0.5,0.7756410256410255
beneficiary,0,identity_role,0.5350127650127651,0.512987012987013,0.56
beneficiary,0,entity0,0.5161219336219336,0.4675324675324675,0.56
beneficiary,0,entity1,0.5149297924297924,0.48,0.5535714285714286
beneficiary,0,cls,0.5,0.5,0.5
beneficiary,0,concern_context,0.5,0.5,0.5
beneficiary,0,query,0.5,0.5,0.5
concern,0,concern_context,1.0,1.0,1.0
concern,1,concern_context,1.0,1.0,1.0
concern,2,concern_context,1.0,1.0,1.0
concern,3,concern_context,1.0,1.0,1.0
concern,1,cls,0.9301075268817204,0.7903225806451613,1.0
concern,3,cls,0.852374551971326,0.6612903225806451,0.9583333333333331
concern,2,cls,0.8469982078853047,0.6451612903225806,0.9583333333333331
concern,3,identity_role,0.7783533223049353,0.6907051282051282,0.9193548387096776
concern,2,identity_role,0.770019988971602,0.6907051282051282,0.9193548387096776
concern,2,entity1,0.768936920464934,0.6666666666666666,0.9414261460101868
concern,3,entity1,0.768936920464934,0.6666666666666666,0.9414261460101868
concern,1,identity_role,0.7611111111111111,0.4583333333333333,1.0
concern,1,entity0,0.6958884753239593,0.6618589743589745,0.7258064516129032
concern,2,beneficiary_role,0.6816997518610423,0.475,0.935483870967742
concern,3,beneficiary_role,0.6816997518610423,0.475,0.935483870967742
concern,2,entity0,0.6399434794596085,0.592948717948718,0.6935483870967742
concern,3,entity0,0.6399434794596085,0.592948717948718,0.6935483870967742
concern,1,beneficiary_role,0.635904328646264,0.4711538461538461,0.9032258064516128
concern,1,entity1,0.6317995153309245,0.3974358974358974,0.797962648556876
concern,2,query,0.5887820512820513,0.5,0.7163461538461539
concern,3,query,0.5887820512820513,0.5,0.7163461538461539
concern,1,query,0.5591397849462366,0.5,0.6774193548387097
concern,0,entity0,0.5313351617256541,0.483974358974359,0.6083333333333334
concern,0,identity_role,0.5095341227344622,0.4679487179487179,0.5356536502546689
concern,0,cls,0.5,0.5,0.5
concern,0,query,0.5,0.5,0.5
concern,0,entity1,0.49588212673951215,0.4455128205128205,0.5254668930390493
concern,0,beneficiary_role,0.46247914036538823,0.4083333333333333,0.5560271646859083
identity,0,identity_role,1.0,1.0,1.0
identity,1,identity_role,1.0,1.0,1.0
identity,2,identity_role,1.0,1.0,1.0
identity,3,identity_role,1.0,1.0,1.0
identity,2,concern_context,0.8323376623376624,0.737012987012987,1.0
identity,3,concern_context,0.8323376623376624,0.737012987012987,1.0
identity,1,concern_context,0.7782034632034632,0.5146103896103896,1.0
identity,3,beneficiary_role,0.7437662337662337,0.58,0.95
identity,2,beneficiary_role,0.737099567099567,0.56,0.95
identity,2,entity1,0.6352741702741703,0.52,0.7191558441558441
identity,3,entity1,0.6293217893217894,0.52,0.7012987012987013
identity,2,entity0,0.611031746031746,0.5714285714285714,0.6416666666666667
identity,3,entity0,0.611031746031746,0.5714285714285714,0.6416666666666667
identity,2,cls,0.6066017316017316,0.5698051948051949,0.6499999999999999
identity,3,cls,0.6066017316017316,0.5698051948051949,0.6499999999999999
identity,1,cls,0.5609090909090909,0.5,0.66
identity,1,entity1,0.554978354978355,0.5,0.6
identity,0,entity1,0.550050505050505,0.4599999999999999,0.6333333333333333
identity,1,beneficiary_role,0.5477994227994228,0.5,0.5833333333333334
identity,1,entity0,0.5452669552669552,0.4833333333333333,0.6200000000000001
identity,2,query,0.5363636363636363,0.5,0.575
identity,3,query,0.5244588744588744,0.4983766233766233,0.575
identity,0,cls,0.5,0.5,0.5
identity,0,concern_context,0.5,0.5,0.5
identity,0,query,0.5,0.5,0.5
identity,0,beneficiary_role,0.4948773448773449,0.4333333333333333,0.6000000000000001
identity,0,entity0,0.4715656565656565,0.3833333333333333,0.52
identity,1,query,0.4666666666666666,0.4,0.5
