factor,layer,token,bacc
beneficiary,0,beneficiary_role,1.0
beneficiary,1,beneficiary_role,1.0
beneficiary,2,beneficiary_role,1.0
beneficiary,2,query,1.0
beneficiary,3,beneficiary_role,1.0
beneficiary,3,query,1.0
beneficiary,2,cls,0.8863636363636364
beneficiary,3,cls,0.8863636363636364
beneficiary,2,identity_role,0.8831168831168831
beneficiary,3,identity_role,0.8831168831168831
beneficiary,2,concern_context,0.8522727272727273
beneficiary,3,concern_context,0.8522727272727273
beneficiary,2,entity0,0.6818181818181819
beneficiary,2,entity1,0.6818181818181819
beneficiary,3,entity0,0.6818181818181819
beneficiary,3,entity1,0.6818181818181819
beneficiary,1,entity0,0.6298701298701299
beneficiary,1,concern_context,0.6282467532467533
beneficiary,1,entity1,0.6168831168831169
beneficiary,1,identity_role,0.5762987012987013
beneficiary,0,entity1,0.5535714285714286
beneficiary,0,identity_role,0.512987012987013
beneficiary,0,cls,0.5
beneficiary,0,concern_context,0.5
beneficiary,0,query,0.5
beneficiary,1,cls,0.5
beneficiary,1,query,0.5
beneficiary,0,entity0,0.4675324675324675
concern,0,concern_context,1.0
concern,1,cls,1.0
concern,1,concern_context,1.0
concern,2,concern_context,1.0
concern,3,concern_context,1.0
concern,2,cls,0.9375
concern,3,cls,0.9375
concern,2,query,0.7163461538461539
concern,3,query,0.7163461538461539
concern,2,entity1,0.6987179487179487
concern,3,entity1,0.6987179487179487
concern,2,identity_role,0.6907051282051282
concern,3,identity_role,0.6907051282051282
concern,1,entity0,0.6618589743589745
concern,2,beneficiary_role,0.6346153846153846
concern,3,beneficiary_role,0.6346153846153846
concern,2,entity0,0.592948717948718
concern,3,entity0,0.592948717948718
concern,0,cls,0.5
concern,0,query,0.5
concern,1,query,0.5
concern,0,entity0,0.48397435897435903
concern,1,beneficiary_role,0.47115384615384615
concern,0,identity_role,0.46794871794871795
concern,1,identity_role,0.45833333333333337
concern,0,entity1,0.44551282051282054
concern,0,beneficiary_role,0.4230769230769231
concern,1,entity1,0.39743589743589747
identity,0,identity_role,1.0
identity,1,identity_role,1.0
identity,2,identity_role,1.0
identity,3,identity_role,1.0
identity,2,concern_context,0.737012987012987
identity,3,concern_context,0.737012987012987
identity,2,entity1,0.7191558441558441
identity,2,beneficiary_role,0.7012987012987013
identity,3,beneficiary_role,0.7012987012987013
identity,3,entity1,0.7012987012987013
identity,2,entity0,0.5714285714285714
identity,3,entity0,0.5714285714285714
identity,2,cls,0.5698051948051949
identity,3,cls,0.5698051948051949
identity,1,entity1,0.564935064935065
identity,1,beneficiary_role,0.560064935064935
identity,0,entity1,0.5568181818181819
identity,2,query,0.5340909090909091
identity,1,entity0,0.5324675324675324
identity,1,cls,0.5227272727272727
identity,1,concern_context,0.5146103896103896
identity,0,entity0,0.5113636363636364
identity,0,cls,0.5
identity,0,concern_context,0.5
identity,0,query,0.5
identity,1,query,0.5
identity,3,query,0.49837662337662336
identity,0,beneficiary_role,0.4512987012987013
