seed,factor,train_query,test_query,layer,token,bacc
16131,identity,0,0,0,cls,0.5
16131,identity,0,3,0,cls,0.5
16131,identity,0,0,0,entity0,0.6280193236714976
16131,identity,0,3,0,entity0,0.3833333333333333
16131,identity,0,0,0,entity1,0.6594202898550725
16131,identity,0,3,0,entity1,0.6333333333333333
16131,identity,0,0,0,identity_role,1.0
16131,identity,0,3,0,identity_role,1.0
16131,identity,0,0,0,beneficiary_role,0.6996779388083736
16131,identity,0,3,0,beneficiary_role,0.43333333333333335
16131,identity,0,0,0,concern_context,0.5
16131,identity,0,3,0,concern_context,0.5
16131,identity,0,0,0,query,0.5
16131,identity,0,3,0,query,0.5
16131,identity,0,0,1,cls,0.9009661835748792
16131,identity,0,3,1,cls,0.5
16131,identity,0,0,1,entity0,0.9227053140096618
16131,identity,0,3,1,entity0,0.48333333333333334
16131,identity,0,0,1,entity1,0.857487922705314
16131,identity,0,3,1,entity1,0.6
16131,identity,0,0,1,identity_role,1.0
16131,identity,0,3,1,identity_role,1.0
16131,identity,0,0,1,beneficiary_role,0.9194847020933977
16131,identity,0,3,1,beneficiary_role,0.5833333333333334
16131,identity,0,0,1,concern_context,1.0
16131,identity,0,3,1,concern_context,1.0
16131,identity,0,0,1,query,1.0
16131,identity,0,3,1,query,0.4
16131,identity,0,0,2,cls,1.0
16131,identity,0,3,2,cls,0.6499999999999999
16131,identity,0,0,2,entity0,1.0
16131,identity,0,3,2,entity0,0.6416666666666667
16131,identity,0,0,2,entity1,1.0
16131,identity,0,3,2,entity1,0.6666666666666667
16131,identity,0,0,2,identity_role,1.0
16131,identity,0,3,2,identity_role,1.0
16131,identity,0,0,2,beneficiary_role,1.0
16131,identity,0,3,2,beneficiary_role,0.95
16131,identity,0,0,2,concern_context,1.0
16131,identity,0,3,2,concern_context,1.0
16131,identity,0,0,2,query,1.0
16131,identity,0,3,2,query,0.575
16131,identity,0,0,3,cls,1.0
16131,identity,0,3,3,cls,0.6499999999999999
16131,identity,0,0,3,entity0,1.0
16131,identity,0,3,3,entity0,0.6416666666666667
16131,identity,0,0,3,entity1,1.0
16131,identity,0,3,3,entity1,0.6666666666666667
16131,identity,0,0,3,identity_role,1.0
16131,identity,0,3,3,identity_role,1.0
16131,identity,0,0,3,beneficiary_role,1.0
16131,identity,0,3,3,beneficiary_role,0.95
16131,identity,0,0,3,concern_context,1.0
16131,identity,0,3,3,concern_context,1.0
16131,identity,0,0,3,query,1.0
16131,identity,0,3,3,query,0.575
16131,beneficiary,1,1,0,cls,0.5
16131,beneficiary,1,3,0,cls,0.5
16131,beneficiary,1,1,0,entity0,0.6518883415435139
16131,beneficiary,1,3,0,entity0,0.5208333333333333
16131,beneficiary,1,1,0,entity1,0.7405582922824302
16131,beneficiary,1,3,0,entity1,0.5112179487179487
16131,beneficiary,1,1,0,identity_role,0.6798029556650246
16131,beneficiary,1,3,0,identity_role,0.532051282051282
16131,beneficiary,1,1,0,beneficiary_role,1.0
16131,beneficiary,1,3,0,beneficiary_role,1.0
16131,beneficiary,1,1,0,concern_context,0.5
16131,beneficiary,1,3,0,concern_context,0.5
16131,beneficiary,1,1,0,query,0.5
16131,beneficiary,1,3,0,query,0.5
16131,beneficiary,1,1,1,cls,1.0
16131,beneficiary,1,3,1,cls,0.7740384615384616
16131,beneficiary,1,1,1,entity0,0.9655172413793103
16131,beneficiary,1,3,1,entity0,0.703525641025641
16131,beneficiary,1,1,1,entity1,1.0
16131,beneficiary,1,3,1,entity1,0.8413461538461539
16131,beneficiary,1,1,1,identity_role,0.9523809523809523
16131,beneficiary,1,3,1,identity_role,0.5657051282051282
16131,beneficiary,1,1,1,beneficiary_role,1.0
16131,beneficiary,1,3,1,beneficiary_role,1.0
16131,beneficiary,1,1,1,concern_context,1.0
16131,beneficiary,1,3,1,concern_context,1.0
16131,beneficiary,1,1,1,query,1.0
16131,beneficiary,1,3,1,query,0.7756410256410255
16131,beneficiary,1,1,2,cls,1.0
16131,beneficiary,1,3,2,cls,0.7676282051282051
16131,beneficiary,1,1,2,entity0,1.0
16131,beneficiary,1,3,2,entity0,0.6602564102564102
16131,beneficiary,1,1,2,entity1,1.0
16131,beneficiary,1,3,2,entity1,0.7307692307692308
16131,beneficiary,1,1,2,identity_role,1.0
16131,beneficiary,1,3,2,identity_role,0.8461538461538461
16131,beneficiary,1,1,2,beneficiary_role,1.0
16131,beneficiary,1,3,2,beneficiary_role,1.0
16131,beneficiary,1,1,2,concern_context,1.0
16131,beneficiary,1,3,2,concern_context,0.5
16131,beneficiary,1,1,2,query,1.0
16131,beneficiary,1,3,2,query,0.5192307692307693
16131,beneficiary,1,1,3,cls,1.0
16131,beneficiary,1,3,3,cls,0.7676282051282051
16131,beneficiary,1,1,3,entity0,1.0
16131,beneficiary,1,3,3,entity0,0.6602564102564102
16131,beneficiary,1,1,3,entity1,1.0
16131,beneficiary,1,3,3,entity1,0.7307692307692308
16131,beneficiary,1,1,3,identity_role,1.0
16131,beneficiary,1,3,3,identity_role,0.8461538461538461
