seed,phase,name,action_acc,outcome_mae
16140,0,continuity,1.0,0.0093420790508389
16140,1,allocation,1.0,0.0450417958199977
16140,2,protection,1.0,0.0287614706903696
16140,3,integrated,1.0,0.04185177013278
16141,0,continuity,1.0,0.0067723519168794
16141,1,allocation,1.0,0.0461930707097053
16141,2,protection,1.0,0.0349805913865566
16141,3,integrated,1.0,0.0512415021657943
16142,0,continuity,1.0,0.0098346844315528
16142,1,allocation,1.0,0.0715666711330413
16142,2,protection,1.0,0.0391633287072181
16142,3,integrated,1.0,0.04384570941329
