target_factor,phase,patch,mean_follow,min_follow,max_follow,total_conflicts
beneficiary,1,all_roles_plus_phase,1.0,1.0,1.0,435
beneficiary,1,phase_only,0.7636249902259754,0.3793103448275862,1.0,435
beneficiary,1,role_only,0.22065837829384627,0.0,0.6551724137931034,435
beneficiary,1,role_plus_phase,1.0,1.0,1.0,435
beneficiary,1,unrelated_plus_phase,0.7704902650715458,0.3931034482758621,1.0,435
beneficiary,3,all_roles_plus_phase,0.8194862101555116,0.4778761061946903,1.0,332
beneficiary,3,phase_only,0.5325621942873395,0.19469026548672566,0.9805825242718447,332
beneficiary,3,role_only,0.2079646017699115,0.0,0.5,332
beneficiary,3,role_plus_phase,0.7989898211818569,0.4336283185840708,0.9827586206896551,332
beneficiary,3,unrelated_plus_phase,0.5408964904951941,0.20353982300884957,0.970873786407767,332
concern,2,all_roles_plus_phase,1.0,1.0,1.0,469
concern,2,phase_only,0.5987201204592508,0.025974025974025976,1.0,469
concern,2,role_only,0.30321852060982496,0.0,0.7792207792207793,469
concern,2,role_plus_phase,1.0,1.0,1.0,469
concern,2,unrelated_plus_phase,0.5987201204592508,0.025974025974025976,1.0,469
concern,3,all_roles_plus_phase,0.9166666666666666,0.75,1.0,194
concern,3,phase_only,0.48590686274509803,0.03125,1.0,194
concern,3,role_only,0.4255514705882353,0.0,0.703125,194
concern,3,role_plus_phase,0.921875,0.765625,1.0,194
concern,3,unrelated_plus_phase,0.49142156862745096,0.0625,1.0,194
identity,0,all_roles_plus_phase,1.0,1.0,1.0,452
identity,0,phase_only,0.8145957801465106,0.47058823529411764,0.9933333333333333,452
identity,0,role_only,0.11994268251670541,0.0,0.3464052287581699,452
identity,0,role_plus_phase,1.0,1.0,1.0,452
identity,0,unrelated_plus_phase,0.8168329166118348,0.47058823529411764,0.9933333333333333,452
identity,3,all_roles_plus_phase,0.9209401709401709,0.8461538461538461,1.0,291
identity,3,phase_only,0.22248931623931623,0.0,0.4270833333333333,291
identity,3,role_only,0.6298840048840049,0.4583333333333333,0.8351648351648352,291
identity,3,role_plus_phase,0.9209401709401709,0.8461538461538461,1.0,291
identity,3,unrelated_plus_phase,0.22248931623931623,0.0,0.4270833333333333,291
