seed,target_factor,layer,source_patch,phase,phase_name,conflict_n,follow,policy_change,outcome_change_mae
16140,identity,0,identity_role,0,continuity,365,1.0,0.73,0.4824231564998626
16140,identity,0,identity_role,1,allocation,0,,0.0,0.0157308466732502
16140,identity,0,identity_role,2,protection,0,,0.0,0.0122238779440522
16140,identity,0,identity_role,3,integrated,224,1.0,0.448,0.0317438468337059
16140,identity,0,beneficiary_role,0,continuity,365,0.0,0.0,0.0
16140,identity,0,beneficiary_role,1,allocation,0,,0.0,0.0
16140,identity,0,beneficiary_role,2,protection,0,,0.0,0.0
16140,identity,0,beneficiary_role,3,integrated,224,0.0,0.0,0.0
16140,identity,0,concern_context,0,continuity,365,0.0,0.0,0.0
16140,identity,0,concern_context,1,allocation,0,,0.0,0.0
16140,identity,0,concern_context,2,protection,0,,0.0,0.0
16140,identity,0,concern_context,3,integrated,224,0.0,0.0,0.0
16140,identity,0,entities,0,continuity,365,0.0,0.0,0.0
16140,identity,0,entities,1,allocation,0,,0.0,0.0
16140,identity,0,entities,2,protection,0,,0.0,0.0
16140,identity,0,entities,3,integrated,224,0.0,0.0,0.0
16140,identity,0,phase0,0,continuity,365,0.0,0.0,0.0
16140,identity,0,phase0,1,allocation,0,,0.0,0.0
16140,identity,0,phase0,2,protection,0,,0.0,0.0
16140,identity,0,phase0,3,integrated,224,0.0,0.0,0.0
16140,identity,0,phase1,0,continuity,365,0.0,0.0,0.0
16140,identity,0,phase1,1,allocation,0,,0.0,0.0
16140,identity,0,phase1,2,protection,0,,0.0,0.0
16140,identity,0,phase1,3,integrated,224,0.0,0.0,0.0
16140,identity,0,phase2,0,continuity,365,0.0,0.0,0.0
16140,identity,0,phase2,1,allocation,0,,0.0,0.0
16140,identity,0,phase2,2,protection,0,,0.0,0.0
16140,identity,0,phase2,3,integrated,224,0.0,0.0,0.0
16140,identity,0,phase3,0,continuity,365,0.0,0.0,0.0
16140,identity,0,phase3,1,allocation,0,,0.0,0.0
16140,identity,0,phase3,2,protection,0,,0.0,0.0
16140,identity,0,phase3,3,integrated,224,0.0,0.0,0.0
16140,identity,0,all_phases,0,continuity,365,0.0,0.0,0.0
16140,identity,0,all_phases,1,allocation,0,,0.0,0.0
16140,identity,0,all_phases,2,protection,0,,0.0,0.0
16140,identity,0,all_phases,3,integrated,224,0.0,0.0,0.0
16140,identity,1,identity_role,0,continuity,365,0.2986301369863013,0.302,0.2208969742059707
16140,identity,1,identity_role,1,allocation,0,,0.0,0.0102655673399567
16140,identity,1,identity_role,2,protection,0,,0.0,0.0060481466352939
16140,identity,1,identity_role,3,integrated,224,0.6964285714285714,0.312,0.0385592691600322
16140,identity,1,beneficiary_role,0,continuity,365,0.0,0.0,3.70034649677109e-05
16140,identity,1,beneficiary_role,1,allocation,0,,0.0,0.003706864779815
16140,identity,1,beneficiary_role,2,protection,0,,0.0,0.0002935607917606
16140,identity,1,beneficiary_role,3,integrated,224,0.0,0.0,0.0025146142579615
16140,identity,1,concern_context,0,continuity,365,0.0,0.0,0.0003884325560647
16140,identity,1,concern_context,1,allocation,0,,0.0,0.0012738418299704
16140,identity,1,concern_context,2,protection,0,,0.0,0.0091111045330762
16140,identity,1,concern_context,3,integrated,224,0.0,0.0,0.013523431494832
16140,identity,1,entities,0,continuity,365,0.0,0.0,0.000930972455535
16140,identity,1,entities,1,allocation,0,,0.0,0.0063055120408535
16140,identity,1,entities,2,protection,0,,0.0,0.0044848159886896
16140,identity,1,entities,3,integrated,224,0.0,0.0,0.0054170712828636
16140,identity,1,phase0,0,continuity,365,0.4986301369863014,0.44,0.3295533359050751
16140,identity,1,phase0,1,allocation,0,,0.0,0.0126087386161088
16140,identity,1,phase0,2,protection,0,,0.0,0.0033353865146636
16140,identity,1,phase0,3,integrated,224,0.0,0.0,0.001679154112935
16140,identity,1,phase1,0,continuity,365,0.0,0.0,4.1237617551814765e-05
16140,identity,1,phase1,1,allocation,0,,0.0,0.0204084850847721
16140,identity,1,phase1,2,protection,0,,0.0,0.0001812268601497
16140,identity,1,phase1,3,integrated,224,0.0,0.0,0.0001325290359091
16140,identity,1,phase2,0,continuity,365,0.0,0.0,1.9743336451938376e-05
16140,identity,1,phase2,1,allocation,0,,0.0,0.0009512859978713
16140,identity,1,phase2,2,protection,0,,0.0,0.0063012111932039
16140,identity,1,phase2,3,integrated,224,0.0,0.0,3.689065124490298e-05
16140,identity,1,phase3,0,continuity,365,0.0,0.0,0.0001305411424254
16140,identity,1,phase3,1,allocation,0,,0.0,0.0024483858142048
16140,identity,1,phase3,2,protection,0,,0.0,0.0005517759709618
16140,identity,1,phase3,3,integrated,224,0.2991071428571428,0.134,0.0232057478278875
16140,identity,1,all_phases,0,continuity,365,0.5013698630136987,0.442,0.3298629522323608
16140,identity,1,all_phases,1,allocation,0,,0.0,0.0154241984710097
16140,identity,1,all_phases,2,protection,0,,0.0,0.0061617293395102
16140,identity,1,all_phases,3,integrated,224,0.3035714285714285,0.136,0.0230655632913112
16140,identity,2,identity_role,0,continuity,365,0.0,0.0,0.0
16140,identity,2,identity_role,1,allocation,0,,0.0,0.0
16140,identity,2,identity_role,2,protection,0,,0.0,0.0
16140,identity,2,identity_role,3,integrated,224,0.0,0.0,0.0
16140,identity,2,beneficiary_role,0,continuity,365,0.0,0.0,0.0
16140,identity,2,beneficiary_role,1,allocation,0,,0.0,0.0
16140,identity,2,beneficiary_role,2,protection,0,,0.0,0.0
16140,identity,2,beneficiary_role,3,integrated,224,0.0,0.0,0.0
16140,identity,2,concern_context,0,continuity,365,0.0,0.0,0.0
16140,identity,2,concern_context,1,allocation,0,,0.0,0.0
16140,identity,2,concern_context,2,protection,0,,0.0,0.0
16140,identity,2,concern_context,3,integrated,224,0.0,0.0,0.0
16140,identity,2,entities,0,continuity,365,0.0,0.0,0.0
16140,identity,2,entities,1,allocation,0,,0.0,0.0
16140,identity,2,entities,2,protection,0,,0.0,0.0
16140,identity,2,entities,3,integrated,224,0.0,0.0,0.0
16140,identity,2,phase0,0,continuity,365,1.0,0.73,0.4824231564998626
16140,identity,2,phase0,1,allocation,0,,0.0,0.0
16140,identity,2,phase0,2,protection,0,,0.0,0.0
16140,identity,2,phase0,3,integrated,224,0.0,0.0,0.0
16140,identity,2,phase1,0,continuity,365,0.0,0.0,0.0
16140,identity,2,phase1,1,allocation,0,,0.0,0.0157308466732502
16140,identity,2,phase1,2,protection,0,,0.0,0.0
16140,identity,2,phase1,3,integrated,224,0.0,0.0,0.0
16140,identity,2,phase2,0,continuity,365,0.0,0.0,0.0
16140,identity,2,phase2,1,allocation,0,,0.0,0.0
16140,identity,2,phase2,2,protection,0,,0.0,0.0122238779440522
16140,identity,2,phase2,3,integrated,224,0.0,0.0,0.0
16140,identity,2,phase3,0,continuity,365,0.0,0.0,0.0
16140,identity,2,phase3,1,allocation,0,,0.0,0.0
16140,identity,2,phase3,2,protection,0,,0.0,0.0
16140,identity,2,phase3,3,integrated,224,1.0,0.448,0.0317438468337059
16140,identity,2,all_phases,0,continuity,365,1.0,0.73,0.4824231564998626
16140,identity,2,all_phases,1,allocation,0,,0.0,0.0157308466732502
16140,identity,2,all_phases,2,protection,0,,0.0,0.0122238779440522
16140,identity,2,all_phases,3,integrated,224,1.0,0.448,0.0317438468337059
16140,beneficiary,0,identity_role,0,continuity,0,,0.0,0.0
16140,beneficiary,0,identity_role,1,allocation,372,0.0,0.0,0.0
16140,beneficiary,0,identity_role,2,protection,0,,0.0,0.0
16140,beneficiary,0,identity_role,3,integrated,271,0.0,0.0,0.0
16140,beneficiary,0,beneficiary_role,0,continuity,0,,0.0,0.001433523138985
16140,beneficiary,0,beneficiary_role,1,allocation,372,1.0,0.744,0.2573580145835876
16140,beneficiary,0,beneficiary_role,2,protection,0,,0.0,0.0118512120097875
16140,beneficiary,0,beneficiary_role,3,integrated,271,1.0,0.542,0.0326524004340171
16140,beneficiary,0,concern_context,0,continuity,0,,0.0,0.0
16140,beneficiary,0,concern_context,1,allocation,372,0.0,0.0,0.0
16140,beneficiary,0,concern_context,2,protection,0,,0.0,0.0
16140,beneficiary,0,concern_context,3,integrated,271,0.0,0.0,0.0
16140,beneficiary,0,entities,0,continuity,0,,0.0,0.0
16140,beneficiary,0,entities,1,allocation,372,0.0,0.0,0.0
16140,beneficiary,0,entities,2,protection,0,,0.0,0.0
16140,beneficiary,0,entities,3,integrated,271,0.0,0.0,0.0
16140,beneficiary,0,phase0,0,continuity,0,,0.0,0.0
16140,beneficiary,0,phase0,1,allocation,372,0.0,0.0,0.0
16140,beneficiary,0,phase0,2,protection,0,,0.0,0.0
16140,beneficiary,0,phase0,3,integrated,271,0.0,0.0,0.0
16140,beneficiary,0,phase1,0,continuity,0,,0.0,0.0
16140,beneficiary,0,phase1,1,allocation,372,0.0,0.0,0.0
16140,beneficiary,0,phase1,2,protection,0,,0.0,0.0
16140,beneficiary,0,phase1,3,integrated,271,0.0,0.0,0.0
16140,beneficiary,0,phase2,0,continuity,0,,0.0,0.0
16140,beneficiary,0,phase2,1,allocation,372,0.0,0.0,0.0
16140,beneficiary,0,phase2,2,protection,0,,0.0,0.0
16140,beneficiary,0,phase2,3,integrated,271,0.0,0.0,0.0
16140,beneficiary,0,phase3,0,continuity,0,,0.0,0.0
16140,beneficiary,0,phase3,1,allocation,372,0.0,0.0,0.0
16140,beneficiary,0,phase3,2,protection,0,,0.0,0.0
16140,beneficiary,0,phase3,3,integrated,271,0.0,0.0,0.0
16140,beneficiary,0,all_phases,0,continuity,0,,0.0,0.0
16140,beneficiary,0,all_phases,1,allocation,372,0.0,0.0,0.0
16140,beneficiary,0,all_phases,2,protection,0,,0.0,0.0
16140,beneficiary,0,all_phases,3,integrated,271,0.0,0.0,0.0
16140,beneficiary,1,identity_role,0,continuity,0,,0.0,0.0003122703346889
