target_factor,layer,source_patch,phase,phase_name,mean_follow,min_follow,mean_policy_change,mean_outcome_change,total_conflicts
beneficiary,0,all_phases,1,allocation,0.0,0.0,0.0,0.0,590
beneficiary,0,all_phases,3,integrated,0.0,0.0,0.0,0.0,441
beneficiary,0,beneficiary_role,1,allocation,1.0,1.0,0.7324444444444445,0.2530189553896586,590
beneficiary,0,beneficiary_role,3,integrated,1.0,1.0,0.5584444444444444,0.03736349195241923,441
beneficiary,0,concern_context,1,allocation,0.0,0.0,0.0,0.0,590
beneficiary,0,concern_context,3,integrated,0.0,0.0,0.0,0.0,441
beneficiary,0,entities,1,allocation,0.0,0.0,0.0,0.0,590
beneficiary,0,entities,3,integrated,0.0,0.0,0.0,0.0,441
beneficiary,0,identity_role,1,allocation,0.0,0.0,0.0,0.0,590
beneficiary,0,identity_role,3,integrated,0.0,0.0,0.0,0.0,441
beneficiary,0,phase0,1,allocation,0.0,0.0,0.0,0.0,590
beneficiary,0,phase0,3,integrated,0.0,0.0,0.0,0.0,441
beneficiary,0,phase1,1,allocation,0.0,0.0,0.0,0.0,590
beneficiary,0,phase1,3,integrated,0.0,0.0,0.0,0.0,441
beneficiary,0,phase2,1,allocation,0.0,0.0,0.0,0.0,590
beneficiary,0,phase2,3,integrated,0.0,0.0,0.0,0.0,441
beneficiary,0,phase3,1,allocation,0.0,0.0,0.0,0.0,590
beneficiary,0,phase3,3,integrated,0.0,0.0,0.0,0.0,441
beneficiary,1,all_phases,1,allocation,0.781328193683641,0.3817204301075269,0.593111111111111,0.22796553870042166,590
beneficiary,1,all_phases,3,integrated,0.7395268070327762,0.4538745387453874,0.4391111111111112,0.04081290028989313,441
beneficiary,1,beneficiary_role,1,allocation,0.19758909853249476,0.0,0.16933333333333334,0.08581165348490076,590
beneficiary,1,beneficiary_role,3,integrated,0.20303885391795093,0.0,0.13133333333333333,0.022667014350493665,441
beneficiary,1,concern_context,1,allocation,0.0,0.0,0.0,0.004865688543456267,590
beneficiary,1,concern_context,3,integrated,0.001230012300123,0.0,0.0013333333333333333,0.0109998579913129,441
beneficiary,1,entities,1,allocation,0.0,0.0,0.0,0.0080638285726308,590
beneficiary,1,entities,3,integrated,0.0,0.0,0.0,0.007929952155488166,441
beneficiary,1,identity_role,1,allocation,0.0,0.0,0.0,0.0006162989399550333,590
beneficiary,1,identity_role,3,integrated,0.0,0.0,0.0,0.0021639714444366335,441
beneficiary,1,phase0,1,allocation,0.0,0.0,0.0,0.00025367505683482724,590
beneficiary,1,phase0,3,integrated,0.0,0.0,0.0,8.229078108946713e-05,441
beneficiary,1,phase1,1,allocation,0.7723338067221208,0.3924731182795699,0.589111111111111,0.22691390911738077,590
beneficiary,1,phase1,3,integrated,0.1372549019607843,0.0,0.09555555555555556,0.021554558343874833,441
beneficiary,1,phase2,1,allocation,0.0,0.0,0.0,0.0017313596472376665,590
beneficiary,1,phase2,3,integrated,0.0,0.0,0.0,0.00023252996834341311,441
beneficiary,1,phase3,1,allocation,0.0,0.0,0.0,0.0060526745704312665,590
beneficiary,1,phase3,3,integrated,0.5500615006150061,0.2,0.334,0.0477626261611779,441
beneficiary,2,all_phases,1,allocation,1.0,1.0,0.7324444444444445,0.2530189553896586,590
beneficiary,2,all_phases,3,integrated,1.0,1.0,0.5584444444444444,0.03736349195241923,441
beneficiary,2,beneficiary_role,1,allocation,0.0,0.0,0.0,0.0,590
beneficiary,2,beneficiary_role,3,integrated,0.0,0.0,0.0,0.0,441
beneficiary,2,concern_context,1,allocation,0.0,0.0,0.0,0.0,590
beneficiary,2,concern_context,3,integrated,0.0,0.0,0.0,0.0,441
beneficiary,2,entities,1,allocation,0.0,0.0,0.0,0.0,590
beneficiary,2,entities,3,integrated,0.0,0.0,0.0,0.0,441
beneficiary,2,identity_role,1,allocation,0.0,0.0,0.0,0.0,590
beneficiary,2,identity_role,3,integrated,0.0,0.0,0.0,0.0,441
beneficiary,2,phase0,1,allocation,0.0,0.0,0.0,0.0,590
beneficiary,2,phase0,3,integrated,0.0,0.0,0.0,0.0,441
beneficiary,2,phase1,1,allocation,1.0,1.0,0.7324444444444445,0.2530189553896586,590
beneficiary,2,phase1,3,integrated,0.0,0.0,0.0,0.0,441
beneficiary,2,phase2,1,allocation,0.0,0.0,0.0,0.0,590
beneficiary,2,phase2,3,integrated,0.0,0.0,0.0,0.0,441
beneficiary,2,phase3,1,allocation,0.0,0.0,0.0,0.0,590
beneficiary,2,phase3,3,integrated,1.0,1.0,0.5584444444444444,0.03736349195241923,441
concern,0,all_phases,2,protection,0.0,0.0,0.0,0.0,618
concern,0,all_phases,3,integrated,0.0,0.0,0.0,0.0,276
concern,0,beneficiary_role,2,protection,0.0,0.0,0.0,0.0,618
concern,0,beneficiary_role,3,integrated,0.0,0.0,0.0,0.0,276
concern,0,concern_context,2,protection,1.0,1.0,0.7791111111111112,0.3229231834411621,618
concern,0,concern_context,3,integrated,1.0,1.0,0.3333333333333333,0.322894811630249,276
concern,0,entities,2,protection,0.0,0.0,0.0,0.0,618
concern,0,entities,3,integrated,0.0,0.0,0.0,0.0,276
concern,0,identity_role,2,protection,0.0,0.0,0.0,0.0,618
concern,0,identity_role,3,integrated,0.0,0.0,0.0,0.0,276
concern,0,phase0,2,protection,0.0,0.0,0.0,0.0,618
concern,0,phase0,3,integrated,0.0,0.0,0.0,0.0,276
concern,0,phase1,2,protection,0.0,0.0,0.0,0.0,618
concern,0,phase1,3,integrated,0.0,0.0,0.0,0.0,276
concern,0,phase2,2,protection,0.0,0.0,0.0,0.0,618
concern,0,phase2,3,integrated,0.0,0.0,0.0,0.0,276
concern,0,phase3,2,protection,0.0,0.0,0.0,0.0,618
concern,0,phase3,3,integrated,0.0,0.0,0.0,0.0,276
concern,1,all_phases,2,protection,0.5797095178342203,0.0366492146596858,0.5331111111111112,0.17252748707930243,618
concern,1,all_phases,3,integrated,0.5555555555555556,0.2444444444444444,0.18844444444444444,0.15301267181833583,276
concern,1,beneficiary_role,2,protection,0.0,0.0,0.0,0.0020383643277454666,618
concern,1,beneficiary_role,3,integrated,0.0,0.0,0.0,0.0038129062935088665,276
concern,1,concern_context,2,protection,0.325876566714263,0.0,0.3204444444444444,0.2210814505815506,618
concern,1,concern_context,3,integrated,0.4148148148148148,0.0,0.1386666666666667,0.2071144865670551,276
concern,1,entities,2,protection,0.0,0.0,0.0,0.0030016022889564,618
concern,1,entities,3,integrated,0.0,0.0,0.0,0.003915793534057767,276
concern,1,identity_role,2,protection,0.0,0.0,0.0,0.0014131052594165668,618
concern,1,identity_role,3,integrated,0.0,0.0,0.0,0.004867038223892401,276
concern,1,phase0,2,protection,0.0,0.0,0.0,0.00034531398947966664,618
concern,1,phase0,3,integrated,0.0,0.0,0.0,0.0002567263242477667,276
concern,1,phase1,2,protection,0.0,0.0,0.0,0.0005715134532995753,618
concern,1,phase1,3,integrated,0.0,0.0,0.0,0.00028567669505713333,276
concern,1,phase2,2,protection,0.5797095178342203,0.0366492146596858,0.5331111111111112,0.17255964130163193,618
concern,1,phase2,3,integrated,0.08148148148148147,0.0,0.024444444444444435,0.017887793588063933,276
concern,1,phase3,2,protection,0.0,0.0,0.0,0.0019276956639562666,618
concern,1,phase3,3,integrated,0.4777777777777778,0.0,0.16533333333333336,0.14001536058882869,276
concern,2,all_phases,2,protection,1.0,1.0,0.7791111111111112,0.3229231834411621,618
concern,2,all_phases,3,integrated,1.0,1.0,0.3333333333333333,0.322894811630249,276
concern,2,beneficiary_role,2,protection,0.0,0.0,0.0,0.0,618
concern,2,beneficiary_role,3,integrated,0.0,0.0,0.0,0.0,276
concern,2,concern_context,2,protection,0.0,0.0,0.0,0.0,618
concern,2,concern_context,3,integrated,0.0,0.0,0.0,0.0,276
concern,2,entities,2,protection,0.0,0.0,0.0,0.0,618
concern,2,entities,3,integrated,0.0,0.0,0.0,0.0,276
concern,2,identity_role,2,protection,0.0,0.0,0.0,0.0,618
concern,2,identity_role,3,integrated,0.0,0.0,0.0,0.0,276
concern,2,phase0,2,protection,0.0,0.0,0.0,0.0,618
concern,2,phase0,3,integrated,0.0,0.0,0.0,0.0,276
concern,2,phase1,2,protection,0.0,0.0,0.0,0.0,618
concern,2,phase1,3,integrated,0.0,0.0,0.0,0.0,276
concern,2,phase2,2,protection,1.0,1.0,0.7791111111111112,0.3229231834411621,618
concern,2,phase2,3,integrated,0.0,0.0,0.0,0.0,276
concern,2,phase3,2,protection,0.0,0.0,0.0,0.0,618
concern,2,phase3,3,integrated,1.0,1.0,0.3333333333333333,0.322894811630249,276
identity,0,all_phases,0,continuity,0.0,0.0,0.0,0.0,586
identity,0,all_phases,3,integrated,0.0,0.0,0.0,0.0,375
identity,0,beneficiary_role,0,continuity,0.0,0.0,0.0,0.0,586
identity,0,beneficiary_role,3,integrated,0.0,0.0,0.0,0.0,375
identity,0,concern_context,0,continuity,0.0,0.0,0.0,0.0,586
identity,0,concern_context,3,integrated,0.0,0.0,0.0,0.0,375
identity,0,entities,0,continuity,0.0,0.0,0.0,0.0,586
identity,0,entities,3,integrated,0.0,0.0,0.0,0.0,375
identity,0,identity_role,0,continuity,1.0,1.0,0.7344444444444443,0.4868581593036651,586
identity,0,identity_role,3,integrated,1.0,1.0,0.48488888888888887,0.033516214539607334,375
identity,0,phase0,0,continuity,0.0,0.0,0.0,0.0,586
identity,0,phase0,3,integrated,0.0,0.0,0.0,0.0,375
identity,0,phase1,0,continuity,0.0,0.0,0.0,0.0,586
identity,0,phase1,3,integrated,0.0,0.0,0.0,0.0,375
identity,0,phase2,0,continuity,0.0,0.0,0.0,0.0,586
identity,0,phase2,3,integrated,0.0,0.0,0.0,0.0,375
identity,0,phase3,0,continuity,0.0,0.0,0.0,0.0,586
identity,0,phase3,3,integrated,0.0,0.0,0.0,0.0,375
identity,1,all_phases,0,continuity,0.8005603781037361,0.5013698630136987,0.6295555555555555,0.4224315583705902,586
identity,1,all_phases,3,integrated,0.29447466947466944,0.2162162162162162,0.14977777777777776,0.028257545704642867,375
