seed,condition,layer,factor,conflict_n,counterfactual_follow,random_follow,target_probe_transfer,offtarget_probe_stability,world_prediction_stability,policy_change_rate,cf_policy_change_rate
16120,unified_behavior_only,1,identity,1218,0.0,0.0,0.9984,0.9998,1.0,0.0,0.4872
16120,unified_behavior_only,1,beneficiary,1450,0.3337931034482758,0.0,1.0,0.4888,1.0,0.2136,0.58
16120,unified_behavior_only,1,concern,789,0.0,0.0,0.9996,0.9984,1.0,0.0,0.3156
16121,unified_behavior_only,3,identity,1167,0.0,0.0,0.9772,0.8032,1.0,0.0,0.4668
16121,unified_behavior_only,3,beneficiary,1447,0.0,0.0,0.99,0.7568,1.0,0.0,0.5788
16121,unified_behavior_only,3,concern,835,0.0,0.0,0.9996,0.9606,1.0,0.0,0.334
16122,unified_behavior_only,2,identity,1154,0.0,0.0,0.9912,0.902,1.0,0.0,0.4616
16122,unified_behavior_only,2,beneficiary,1397,0.0,0.0,0.9984,0.7578,1.0,0.0,0.5588
16122,unified_behavior_only,2,concern,848,0.0023584905660377,0.0035377358490566,0.9996,0.8286,1.0,0.0008,0.3392
16120,unified_multitask,2,identity,1218,0.0205254515599343,0.01559934318555,1.0,1.0,1.0,0.01,0.4872
16120,unified_multitask,2,beneficiary,1450,0.0813793103448275,0.0034482758620689,1.0,1.0,0.9918666666666668,0.0648,0.58
16120,unified_multitask,2,concern,789,0.0012674271229404,0.0,1.0,1.0,1.0,0.0004,0.3156
16121,unified_multitask,2,identity,1167,0.0548414738646101,0.0008568980291345,1.0,1.0,0.9997333333333334,0.0256,0.4668
16121,unified_multitask,2,beneficiary,1447,0.2467173462335867,0.0525224602626123,1.0,1.0,0.999,0.1852,0.5788
16121,unified_multitask,2,concern,835,0.118562874251497,0.0,1.0,1.0,1.0,0.04,0.334
16122,unified_multitask,2,identity,1154,0.0285961871750433,0.0,1.0,1.0,1.0,0.0132,0.4616
16122,unified_multitask,2,beneficiary,1397,0.0765926986399427,0.0,1.0,1.0,0.9994,0.0508,0.5588
16122,unified_multitask,2,concern,848,0.0235849056603773,0.053066037735849,1.0,1.0,1.0,0.008,0.3392
