,,,seed,seed,seed,probe_bacc,probe_bacc,probe_bacc,cross_context_bacc,cross_context_bacc,cross_context_bacc
,,,mean,std,median,mean,std,median,mean,std,median
condition,layer,factor,,,,,,,,,
unified_behavior_only,0,beneficiary,16121.0,1.0,16121.0,0.5,0.0,0.5,0.5,0.0,0.5
unified_behavior_only,0,concern,16121.0,1.0,16121.0,0.5,0.0,0.5,0.5,0.0,0.5
unified_behavior_only,0,identity,16121.0,1.0,16121.0,0.5,0.0,0.5,0.5,0.0,0.5
unified_behavior_only,1,beneficiary,16121.0,1.0,16121.0,1.0,0.0,1.0,0.5068333333333334,0.011835680518387315,0.5
unified_behavior_only,1,concern,16121.0,1.0,16121.0,1.0,0.0,1.0,0.6908746711360454,0.23836335818868315,0.5701581027667985
unified_behavior_only,1,identity,16121.0,1.0,16121.0,0.999249410538979,0.0005032480791473131,0.9992478206550424,0.5,0.0,0.5
unified_behavior_only,2,beneficiary,16121.0,1.0,16121.0,0.9968337470578366,0.004851403679354892,0.9992527761796496,0.5184885343968095,0.022825231040389665,0.5114656031904287
unified_behavior_only,2,concern,16121.0,1.0,16121.0,0.999668124844153,0.00038311068862637753,0.999755501222494,0.874095106323748,0.13492926305811637,0.8922764227642277
unified_behavior_only,2,identity,16121.0,1.0,16121.0,0.9881090083313372,0.012561334175865291,0.9932634840957716,0.5004975124378109,0.0008617168196859534,0.5
unified_behavior_only,3,beneficiary,16121.0,1.0,16121.0,0.9968337470578366,0.004851403679354892,0.9992527761796496,0.5184885343968095,0.022825231040389665,0.5114656031904287
unified_behavior_only,3,concern,16121.0,1.0,16121.0,0.999668124844153,0.00038311068862637753,0.999755501222494,0.8740902574351802,0.13463390211101922,0.8917682926829269
unified_behavior_only,3,identity,16121.0,1.0,16121.0,0.9879404026999091,0.012460544889039958,0.9927576672014874,0.5004975124378109,0.0008617168196859534,0.5
unified_multitask,0,beneficiary,16121.0,1.0,16121.0,0.5,0.0,0.5,0.5,0.0,0.5
unified_multitask,0,concern,16121.0,1.0,16121.0,0.5,0.0,0.5,0.5,0.0,0.5
unified_multitask,0,identity,16121.0,1.0,16121.0,0.5,0.0,0.5,0.5,0.0,0.5
unified_multitask,1,beneficiary,16121.0,1.0,16121.0,0.9948319793279173,0.008951274378613412,1.0,0.508316361167685,0.014404360076523286,0.5
unified_multitask,1,concern,16121.0,1.0,16121.0,1.0,0.0,1.0,0.980407988244254,0.01737055254355233,0.9743336623889438
unified_multitask,1,identity,16121.0,1.0,16121.0,0.9959869375293917,0.006319577545180219,0.999258526940188,0.5,0.0,0.5
unified_multitask,2,beneficiary,16121.0,1.0,16121.0,1.0,0.0,1.0,0.9959266802443992,0.007055196772174653,1.0
unified_multitask,2,concern,16121.0,1.0,16121.0,1.0,0.0,1.0,1.0,0.0,1.0
unified_multitask,2,identity,16121.0,1.0,16121.0,1.0,0.0,1.0,0.9990272373540856,0.001684874326428863,1.0
unified_multitask,3,beneficiary,16121.0,1.0,16121.0,1.0,0.0,1.0,0.9957569585879158,0.007349163304348634,1.0
unified_multitask,3,concern,16121.0,1.0,16121.0,1.0,0.0,1.0,1.0,0.0,1.0
unified_multitask,3,identity,16121.0,1.0,16121.0,1.0,0.0,1.0,0.9990272373540856,0.001684874326428863,1.0
