,,,seed,seed,seed,layer,layer,layer,conflict_n,conflict_n,conflict_n,counterfactual_follow,counterfactual_follow,counterfactual_follow,random_follow,random_follow,random_follow,target_probe_transfer,target_probe_transfer,target_probe_transfer,offtarget_probe_stability,offtarget_probe_stability,offtarget_probe_stability,world_prediction_stability,world_prediction_stability,world_prediction_stability,policy_change_rate,policy_change_rate,policy_change_rate,cf_policy_change_rate,cf_policy_change_rate,cf_policy_change_rate
,,,mean,std,median,mean,std,median,mean,std,median,mean,std,median,mean,std,median,mean,std,median,mean,std,median,mean,std,median,mean,std,median,mean,std,median
condition,factor,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unified_behavior_only,beneficiary,1,16121.0,1.0,16121.0,2.0,0.0,2.0,339.0,11.135528725660043,341.0,0.18637037781661872,0.0873529368211378,0.2034383954154728,0.0,0.0,0.0,0.010555555555555533,0.016859989894992815,0.0016666666666666,0.9941666666666666,0.00794949334514117,0.9983333333333332,1.0,0.0,1.0,0.15944444444444442,0.034654378163890415,0.1733333333333333,0.5650000000000001,0.018559214542766666,0.5683333333333334
unified_behavior_only,beneficiary,2,16121.0,1.0,16121.0,2.0,0.0,2.0,339.0,11.135528725660043,341.0,0.781643408546809,0.11308242946208161,0.7564469914040115,0.0,0.0,0.0,0.34944444444444445,0.1595160505101928,0.2666666666666666,0.9869444444444445,0.014961370010550246,0.9925,0.9988888888888888,0.0011111111111110905,0.9988888888888888,0.4749999999999999,0.036094013046179534,0.47,0.5650000000000001,0.018559214542766666,0.5683333333333334
unified_behavior_only,beneficiary,4,16121.0,1.0,16121.0,2.0,0.0,2.0,339.0,11.135528725660043,341.0,0.9912023460410557,0.01523798364430096,1.0,0.0,0.0,0.0,0.4388888888888889,0.08667200838238974,0.425,0.9677777777777777,0.04145222595997752,0.9891666666666666,0.9998148148148148,0.00032075014954985825,1.0,0.5622222222222223,0.01843406669226332,0.56,0.5650000000000001,0.018559214542766666,0.5683333333333334
unified_behavior_only,beneficiary,8,16121.0,1.0,16121.0,2.0,0.0,2.0,339.0,11.135528725660043,341.0,1.0,0.0,1.0,0.0,0.0,0.0,0.6855555555555556,0.17591296248534488,0.6916666666666667,0.9822222222222221,0.006735753140545577,0.9833333333333334,0.9997222222222222,0.00048112522432469125,1.0,0.5650000000000001,0.018559214542766666,0.5683333333333334,0.5650000000000001,0.018559214542766666,0.5683333333333334
unified_behavior_only,beneficiary,16,16121.0,1.0,16121.0,2.0,0.0,2.0,339.0,11.135528725660043,341.0,1.0,0.0,1.0,0.0,0.0,0.0,0.8933333333333332,0.12678722333105963,0.9483333333333334,0.9794444444444445,0.016464046125263778,0.9825,1.0,0.0,1.0,0.5650000000000001,0.018559214542766666,0.5683333333333334,0.5650000000000001,0.018559214542766666,0.5683333333333334
unified_behavior_only,concern,1,16121.0,1.0,16121.0,2.0,0.0,2.0,198.0,11.269427669584644,192.0,0.421762909453584,0.0820269017600803,0.418848167539267,0.0,0.0,0.0,0.04277777777777774,0.06840105045760408,0.0066666666666666,0.9763888888888889,0.017287064313890575,0.9733333333333334,1.0,0.0,1.0,0.14499999999999996,0.02166666666666666,0.145,0.33,0.01878237944930776,0.32
unified_behavior_only,concern,2,16121.0,1.0,16121.0,2.0,0.0,2.0,198.0,11.269427669584644,192.0,0.9630397577672459,0.04714012257029275,0.9791666666666666,0.0,0.0,0.0,0.1072222222222222,0.02849626356273816,0.0933333333333333,0.9872222222222221,0.013574213025411657,0.9933333333333332,1.0,0.0,1.0,0.31888888888888883,0.005853140973807102,0.3183333333333333,0.33,0.01878237944930776,0.32
unified_behavior_only,concern,4,16121.0,1.0,16121.0,2.0,0.0,2.0,198.0,11.269427669584644,192.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5888888888888889,0.3446267438731252,0.465,0.9772222222222222,0.01904551079602441,0.9675,1.0,0.0,1.0,0.33,0.01878237944930776,0.32,0.33,0.01878237944930776,0.32
