seed,condition,layer,factor,k,conflict_n,counterfactual_follow,random_follow,target_probe_transfer,offtarget_probe_stability,world_prediction_stability,policy_change_rate,cf_policy_change_rate
16120,unified_behavior_only,2,identity,1,278,0.3309352517985611,0.0,0.0066666666666666,1.0,1.0,0.185,0.4633333333333333
16120,unified_behavior_only,2,identity,2,278,0.8561151079136691,0.0,0.0433333333333333,0.9991666666666666,1.0,0.4,0.4633333333333333
16120,unified_behavior_only,2,identity,4,278,0.9892086330935252,0.0,0.0933333333333333,0.9991666666666666,1.0,0.4583333333333333,0.4633333333333333
16120,unified_behavior_only,2,identity,8,278,1.0,0.0,0.5016666666666667,0.9991666666666666,1.0,0.4633333333333333,0.4633333333333333
16120,unified_behavior_only,2,identity,16,278,1.0,0.0,0.9216666666666666,0.9991666666666666,1.0,0.4633333333333333,0.4633333333333333
16120,unified_behavior_only,2,beneficiary,1,349,0.2034383954154728,0.0,0.0,0.9991666666666666,1.0,0.1733333333333333,0.5816666666666667
16120,unified_behavior_only,2,beneficiary,2,349,0.7564469914040115,0.0,0.2666666666666666,0.9983333333333332,0.9977777777777778,0.47,0.5816666666666667
16120,unified_behavior_only,2,beneficiary,4,349,1.0,0.0,0.36,0.9891666666666666,1.0,0.5816666666666667,0.5816666666666667
16120,unified_behavior_only,2,beneficiary,8,349,1.0,0.0,0.8583333333333333,0.9883333333333332,1.0,0.5816666666666667,0.5816666666666667
16120,unified_behavior_only,2,beneficiary,16,349,1.0,0.0,0.9833333333333332,0.9941666666666666,1.0,0.5816666666666667,0.5816666666666667
16120,unified_behavior_only,2,concern,1,192,0.5052083333333334,0.0,0.1216666666666666,0.995,1.0,0.1666666666666666,0.32
16120,unified_behavior_only,2,concern,2,192,0.9791666666666666,0.0,0.14,0.9966666666666666,1.0,0.3133333333333333,0.32
16120,unified_behavior_only,2,concern,4,192,1.0,0.0,0.3233333333333333,0.9991666666666666,1.0,0.32,0.32
16120,unified_behavior_only,2,concern,8,192,1.0,0.0,0.8266666666666667,0.9966666666666666,1.0,0.32,0.32
16120,unified_behavior_only,2,concern,16,192,1.0,0.0,0.9433333333333334,0.9916666666666668,1.0,0.32,0.32
16121,unified_behavior_only,2,identity,1,298,0.3187919463087248,0.0,0.03,0.9966666666666666,1.0,0.1783333333333333,0.4966666666666666
16121,unified_behavior_only,2,identity,2,298,0.6409395973154363,0.0,0.0733333333333333,0.9941666666666666,1.0,0.3266666666666666,0.4966666666666666
16121,unified_behavior_only,2,identity,4,298,1.0,0.0,0.22,0.995,1.0,0.4966666666666666,0.4966666666666666
16121,unified_behavior_only,2,identity,8,298,1.0,0.0,0.19,0.9925,1.0,0.4966666666666666,0.4966666666666666
16121,unified_behavior_only,2,identity,16,298,1.0,0.0,0.6933333333333334,0.9858333333333332,1.0,0.4966666666666666,0.4966666666666666
16121,unified_behavior_only,2,beneficiary,1,341,0.2639296187683284,0.0,0.03,0.985,1.0,0.185,0.5683333333333334
16121,unified_behavior_only,2,beneficiary,2,341,0.6832844574780058,0.0,0.2483333333333333,0.97,1.0,0.4416666666666666,0.5683333333333334
16121,unified_behavior_only,2,beneficiary,4,341,0.9736070381231672,0.0,0.425,0.92,1.0,0.56,0.5683333333333334
16121,unified_behavior_only,2,beneficiary,8,341,1.0,0.0,0.5066666666666667,0.975,0.9991666666666666,0.5683333333333334,0.5683333333333334
16121,unified_behavior_only,2,beneficiary,16,341,1.0,0.0,0.7483333333333333,0.9616666666666668,1.0,0.5683333333333334,0.5683333333333334
16121,unified_behavior_only,2,concern,1,211,0.3412322274881517,0.0,0.0066666666666666,0.9733333333333334,1.0,0.1233333333333333,0.3516666666666667
16121,unified_behavior_only,2,concern,2,211,0.909952606635071,0.0,0.0933333333333333,0.9716666666666668,1.0,0.325,0.3516666666666667
16121,unified_behavior_only,2,concern,4,211,1.0,0.0,0.465,0.9675,1.0,0.3516666666666667,0.3516666666666667
16121,unified_behavior_only,2,concern,8,211,1.0,0.0,0.4983333333333333,0.96,1.0,0.3516666666666667,0.3516666666666667
16121,unified_behavior_only,2,concern,16,211,1.0,0.0,0.7383333333333333,0.9458333333333332,1.0,0.3516666666666667,0.3516666666666667
16122,unified_behavior_only,2,identity,1,265,0.2679245283018868,0.0,0.0216666666666666,1.0,1.0,0.1433333333333333,0.4416666666666666
16122,unified_behavior_only,2,identity,2,265,0.9358490566037736,0.0,0.3183333333333333,0.9983333333333332,0.9997222222222222,0.4216666666666667,0.4416666666666666
16122,unified_behavior_only,2,identity,4,265,1.0,0.0,0.3233333333333333,0.9975,1.0,0.4416666666666666,0.4416666666666666
16122,unified_behavior_only,2,identity,8,265,1.0,0.0,0.2916666666666667,0.9975,1.0,0.4416666666666666,0.4416666666666666
16122,unified_behavior_only,2,identity,16,265,1.0,0.0,0.5816666666666667,0.9908333333333332,1.0,0.4416666666666666,0.4416666666666666
16122,unified_behavior_only,2,beneficiary,1,327,0.091743119266055,0.0,0.0016666666666666,0.9983333333333332,1.0,0.12,0.545
16122,unified_behavior_only,2,beneficiary,2,327,0.9051987767584098,0.0,0.5333333333333333,0.9925,0.9988888888888888,0.5133333333333333,0.545
16122,unified_behavior_only,2,beneficiary,4,327,1.0,0.0,0.5316666666666666,0.9941666666666666,0.9994444444444444,0.545,0.545
16122,unified_behavior_only,2,beneficiary,8,327,1.0,0.0,0.6916666666666667,0.9833333333333334,1.0,0.545,0.545
16122,unified_behavior_only,2,beneficiary,16,327,1.0,0.0,0.9483333333333334,0.9825,1.0,0.545,0.545
16122,unified_behavior_only,2,concern,1,191,0.418848167539267,0.0,0.0,0.9608333333333334,1.0,0.145,0.3183333333333333
16122,unified_behavior_only,2,concern,2,191,1.0,0.0,0.0883333333333333,0.9933333333333332,1.0,0.3183333333333333,0.3183333333333333
